array_index	sample_id	run_accession	gsm	donor_line	genotype	treatment	replicate	analysis_group	read_pairs	base_count	read_length	fastq_bytes_total	fastq_r1_url	fastq_r2_url	fastq_r1_md5	fastq_r2_md5	ena_instrument	paper_instrument
1	BULK-SAM-108	SRR32559037	GSM8826803	C1	CTRL	NT	1	CTRL_NT	76505831	23104760962	151	10031402846	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/037/SRR32559037/SRR32559037_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/037/SRR32559037/SRR32559037_2.fastq.gz	89b8de7bab4ba46ab19bf113c15a80f3	f4351f108203298390efbaa7917fb3ba	Illumina NovaSeq X Plus	Illumina NextSeq 2000
2	BULK-SAM-109	SRR32559040	GSM8826804	C1	CTRL	NT	2	CTRL_NT	81767187	24693690474	151	10435840871	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/040/SRR32559040/SRR32559040_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/040/SRR32559040/SRR32559040_2.fastq.gz	a738def3eb157fb64d9810baab0e44bc	525b46637f4de440f40f96e726368c38	Illumina NovaSeq X Plus	Illumina NextSeq 2000
3	BULK-SAM-110	SRR32559036	GSM8826805	C1	CTRL	NT	3	CTRL_NT	85548847	25835751794	151	11018705194	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/036/SRR32559036/SRR32559036_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/036/SRR32559036/SRR32559036_2.fastq.gz	00c58d1466f45991768b201e1a0e1741	b774dfc1fb9dcd34a11cb6a20cf37326	Illumina NovaSeq X Plus	Illumina NextSeq 2000
4	BULK-SAM-102	SRR32559044	GSM8826797	C2	CTRL	NT	1	CTRL_NT	68023686	20543153172	151	8741964817	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/044/SRR32559044/SRR32559044_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/044/SRR32559044/SRR32559044_2.fastq.gz	c7174ff1e58c8876b8dd63104ca5b392	8b0bd3b64c3cec8efe80598cb1a4e7ad	Illumina NovaSeq X Plus	Illumina NextSeq 2000
5	BULK-SAM-103	SRR32559043	GSM8826798	C2	CTRL	NT	2	CTRL_NT	81458799	24600557298	151	10491966023	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/043/SRR32559043/SRR32559043_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/043/SRR32559043/SRR32559043_2.fastq.gz	1ed21bc3f929fcc92e54895d556cb96a	348892e50ed7a55352e2969dc3c3ab41	Illumina NovaSeq X Plus	Illumina NextSeq 2000
6	BULK-SAM-104	SRR32559042	GSM8826799	C2	CTRL	NT	3	CTRL_NT	76605566	23134880932	151	9738508472	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/042/SRR32559042/SRR32559042_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/042/SRR32559042/SRR32559042_2.fastq.gz	43e6a820120eb85c24488853f2d2829f	08b3f28c9372fbf7ef4c3557ca00b4f4	Illumina NovaSeq X Plus	Illumina NextSeq 2000
7	BULK-SAM-105	SRR32559041	GSM8826800	C3	CTRL	NT	1	CTRL_NT	81158252	24509792104	151	10571210313	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/041/SRR32559041/SRR32559041_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/041/SRR32559041/SRR32559041_2.fastq.gz	20fe8dbcb3896628ee872d50d1077cbc	08e7ab6442584ae01d4bdf5d30a461a1	Illumina NovaSeq X Plus	Illumina NextSeq 2000
8	BULK-SAM-106	SRR32559039	GSM8826801	C3	CTRL	NT	2	CTRL_NT	66420665	20059040830	151	8738245458	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/039/SRR32559039/SRR32559039_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/039/SRR32559039/SRR32559039_2.fastq.gz	26362bb4bc7adcbc21d6329a75c921cd	86bb0bed5901a4f43e4819c6c78b4a99	Illumina NovaSeq X Plus	Illumina NextSeq 2000
9	BULK-SAM-107	SRR32559038	GSM8826802	C3	CTRL	NT	3	CTRL_NT	79381846	23973317492	151	10293775418	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/038/SRR32559038/SRR32559038_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/038/SRR32559038/SRR32559038_2.fastq.gz	a2cb5da22fdc3ac704cff4f4720127b7	8cc35932e23126f5711f010ea05b91c3	Illumina NovaSeq X Plus	Illumina NextSeq 2000
10	BULK-SAM-158	SRR32559023	GSM8826817	S2	SMA	NT	1	SMA_NT	83007042	25068126684	151	10522177869	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/023/SRR32559023/SRR32559023_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/023/SRR32559023/SRR32559023_2.fastq.gz	1aaa24da03e8950e47b59fb551269cb9	4ba5a1ec9660541ada5c5ff428e96da2	Illumina NovaSeq X Plus	Illumina NextSeq 2000
