metric	value
profile	local9
selection_schema_version	1
deposited_libraries	31
selected_libraries	9
selected_untreated_libraries	5
selected_treatment_libraries	4
disease_independent_lines	5
treatment_independent_lines	2
selected_fastq_bytes	88254114560
selected_fastq_gib	82.193
deposited_fastq_gib	285.250
benchmark_sample_id	BULK-SAM-148
benchmark_run_accession	SRR32559034
benchmark_fastq_gib	7.794
untreated_selection_rule	closest_to_within_line_median_read_pairs_then_run_accession
treatment_selection_rule	closest_to_within_line_condition_median_read_pairs_then_run_accession
benchmark_selection_rule	smallest_complete_fastq_pair_inside_frozen_local9
raw_scope	pre_specified_local_raw_read_sensitivity_not_validation21_and_not_full_reanalysis
