run_accession	sample_accession	sample_title	experiment_accession	experiment_title	scientific_name	library_layout	library_strategy	instrument_platform	instrument_model	read_count	base_count	fastq_bytes	fastq_ftp	fastq_md5
SRR32559018	SAMN47202604	SMA scramble N3 replicate 4	SRX27868893	Illumina NovaSeq X Plus sequencing: GSM8826823: SMA scramble N3 replicate 4 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	84616728	25554251856	5472482428;5472027303	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/018/SRR32559018/SRR32559018_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/018/SRR32559018/SRR32559018_2.fastq.gz	c3a91d9fdb7adaac2daec7a90058eaca;d356f0f07772b51f1db80a74a7990c48
SRR32559026	SAMN47202612	SMA R6-Mo CS83 replicate 3	SRX27868885	Illumina NovaSeq X Plus sequencing: GSM8826815: SMA R6-Mo CS83 replicate 3 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	70693747	21349511594	4550897649;4514181613	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/026/SRR32559026/SRR32559026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/026/SRR32559026/SRR32559026_2.fastq.gz	72c429bb434ac03cf55c0270db11eccf;001b21afb95baf28bb9abf21085a6a7a
SRR32559030	SAMN47202617	SMA scramble CS83 replicate 2	SRX27868880	Illumina NovaSeq X Plus sequencing: GSM8826810: SMA scramble CS83 replicate 2 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	86930938	26253143276	5785832094;5750962399	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/030/SRR32559030/SRR32559030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/030/SRR32559030/SRR32559030_2.fastq.gz	34b1e1912b51460452354b0fe646741d;64110c79f843c6436cd7b1a1447e4fe3
SRR32559032	SAMN47202615	SMA scramble CS83 replicate 4	SRX27868882	Illumina NovaSeq X Plus sequencing: GSM8826812: SMA scramble CS83 replicate 4 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	66286159	20018420018	4362448726;4320569327	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/032/SRR32559032/SRR32559032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/032/SRR32559032/SRR32559032_2.fastq.gz	21ea2919451875ba5d47180ad3603630;23eba8105b599e79329370e873eb9a68
SRR32559033	SAMN47202619	SMA NT CS83 replicate 3	SRX27868878	Illumina NovaSeq X Plus sequencing: GSM8826808: SMA NT CS83 replicate 3 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	89696076	27088214952	5732195174;5699333337	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/033/SRR32559033/SRR32559033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/033/SRR32559033/SRR32559033_2.fastq.gz	d9dab79e90b4899f8ab4a69da3f75995;3e9b3746517b1d73e61f9a214c3487e3
SRR32559034	SAMN47202620	SMA NT CS83 replicate 2	SRX27868877	Illumina NovaSeq X Plus sequencing: GSM8826807: SMA NT CS83 replicate 2 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	65414230	19755097460	4206378745;4162776857	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/034/SRR32559034/SRR32559034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/034/SRR32559034/SRR32559034_2.fastq.gz	3438ba735e34196c0c1c72f093089cac;a1e45b5ac9ff19ab307e103067f5d8f0
SRR32559036	SAMN47202622	WT A2 replicate 3	SRX27868875	Illumina NovaSeq X Plus sequencing: GSM8826805: WT A2 replicate 3 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	85548847	25835751794	5526214180;5492491014	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/036/SRR32559036/SRR32559036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/036/SRR32559036/SRR32559036_2.fastq.gz	00c58d1466f45991768b201e1a0e1741;b774dfc1fb9dcd34a11cb6a20cf37326
SRR32559037	SAMN47202624	WT A2 replicate 1	SRX27868873	Illumina NovaSeq X Plus sequencing: GSM8826803: WT A2 replicate 1 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	76505831	23104760962	5044663104;4986739742	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/037/SRR32559037/SRR32559037_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/037/SRR32559037/SRR32559037_2.fastq.gz	89b8de7bab4ba46ab19bf113c15a80f3;f4351f108203298390efbaa7917fb3ba
SRR32559041	SAMN47202627	WT CS5 replicate 1	SRX27868870	Illumina NovaSeq X Plus sequencing: GSM8826800: WT CS5 replicate 1 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	81158252	24509792104	5306321252;5264889061	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/041/SRR32559041/SRR32559041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/041/SRR32559041/SRR32559041_2.fastq.gz	20fe8dbcb3896628ee872d50d1077cbc;08e7ab6442584ae01d4bdf5d30a461a1
SRR32559043	SAMN47202629	WT R1 replicate 2	SRX27868868	Illumina NovaSeq X Plus sequencing: GSM8826798: WT R1 replicate 2 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	81458799	24600557298	5272413351;5219552672	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/043/SRR32559043/SRR32559043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/043/SRR32559043/SRR32559043_2.fastq.gz	1ed21bc3f929fcc92e54895d556cb96a;348892e50ed7a55352e2969dc3c3ab41
SRR32559014	SAMN47202600	SMA R6-Mo N3 replicate 4	SRX27868897	Illumina NovaSeq X Plus sequencing: GSM8826827: SMA R6-Mo N3 replicate 4 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	75476133	22793792166	4827672152;4790271862	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/014/SRR32559014/SRR32559014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/014/SRR32559014/SRR32559014_2.fastq.gz	0be5a71c428899a551b525a6b277fad1;b0ad2af8d77e8db2d3d6a28378af8efe
SRR32559015	SAMN47202601	SMA R6-Mo N3 replicate 3	SRX27868896	Illumina NovaSeq X Plus sequencing: GSM8826826: SMA R6-Mo N3 replicate 3 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	62235211	18795033722	4023732033;4027623867	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/015/SRR32559015/SRR32559015_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/015/SRR32559015/SRR32559015_2.fastq.gz	8c73aefd293b88b601f8b818a4d58f30;62862e594e690a98338158a5faec7a8f
SRR32559016	SAMN47202602	SMA R6-Mo N3 replicate 2	SRX27868895	Illumina NovaSeq X Plus sequencing: GSM8826825: SMA R6-Mo N3 replicate 2 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	71005635	21443701770	4538566909;4531227694	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/016/SRR32559016/SRR32559016_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/016/SRR32559016/SRR32559016_2.fastq.gz	8c95096e451ca80626d00b5b3aec5287;0e1138d4f3d8f43d7763e15957ea12f5
SRR32559017	SAMN47202603	SMA R6-Mo N3 replicate 1	SRX27868894	Illumina NovaSeq X Plus sequencing: GSM8826824: SMA R6-Mo N3 replicate 1 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	69142741	20881107782	4449511550;4443256302	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/017/SRR32559017/SRR32559017_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/017/SRR32559017/SRR32559017_2.fastq.gz	ad093494c0d392bfe7df307abd35aba2;249057072d25e7a0b994b5b4518db849
SRR32559019	SAMN47202605	SMA scramble N3 replicate 3	SRX27868892	Illumina NovaSeq X Plus sequencing: GSM8826822: SMA scramble N3 replicate 3 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	79219752	23924365104	5079841057;5059897685	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/019/SRR32559019/SRR32559019_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/019/SRR32559019/SRR32559019_2.fastq.gz	5478d0fef0e73b35132ab4709f63a74b;8f9e892279432c01adbef1432a6cd7f1
SRR32559021	SAMN47202608	SMA NT N3 replicate 3	SRX27868889	Illumina NovaSeq X Plus sequencing: GSM8826819: SMA NT N3 replicate 3 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	70180674	21194563548	4554189942;4519450922	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/021/SRR32559021/SRR32559021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/021/SRR32559021/SRR32559021_2.fastq.gz	3fc4292a610927a0e87934a8a315440e;dc57c4b56edf4dcd9d57e627c9f8da73
SRR32559023	SAMN47202610	SMA NT N3 replicate 1	SRX27868887	Illumina NovaSeq X Plus sequencing: GSM8826817: SMA NT N3 replicate 1 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	83007042	25068126684	5275243133;5246934736	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/023/SRR32559023/SRR32559023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/023/SRR32559023/SRR32559023_2.fastq.gz	1aaa24da03e8950e47b59fb551269cb9;4ba5a1ec9660541ada5c5ff428e96da2
SRR32559024	SAMN47202607	SMA scramble N3 replicate 1	SRX27868890	Illumina NovaSeq X Plus sequencing: GSM8826820: SMA scramble N3 replicate 1 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	70447444	21275128088	4544178662;4492942399	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/024/SRR32559024/SRR32559024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/024/SRR32559024/SRR32559024_2.fastq.gz	842c33751791ccf63fddd9ad1ee22106;1396eaf17aec26c691d9d7b0d5a37d4a
SRR32559025	SAMN47202611	SMA R6-Mo CS83 replicate 4	SRX27868886	Illumina NovaSeq X Plus sequencing: GSM8826816: SMA R6-Mo CS83 replicate 4 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	74963306	22638918412	4832838061;4764027434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/025/SRR32559025/SRR32559025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/025/SRR32559025/SRR32559025_2.fastq.gz	19c5d93a9c7bd5e4b59f3bac49008e12;a036c8753c5f8d16cd765da63ea6254a
SRR32559027	SAMN47202613	SMA R6-Mo CS83 replicate 2	SRX27868884	Illumina NovaSeq X Plus sequencing: GSM8826814: SMA R6-Mo CS83 replicate 2 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	63540470	19189221940	4020937568;3993393498	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/027/SRR32559027/SRR32559027_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/027/SRR32559027/SRR32559027_2.fastq.gz	53fc7b383d7a93d86fd61e1c9a9d7b0a;40da4cf69a9e670958cb9c74c636ea8d
SRR32559028	SAMN47202614	SMA R6-Mo CS83 replicate 1	SRX27868883	Illumina NovaSeq X Plus sequencing: GSM8826813: SMA R6-Mo CS83 replicate 1 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	122086981	36870268262	7807579745;7936064142	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/028/SRR32559028/SRR32559028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/028/SRR32559028/SRR32559028_2.fastq.gz	47d04af698784b30f2a49af52f04e0c3;473f57f96f043d1ccb111a881cb32369
SRR32559029	SAMN47202616	SMA scramble CS83 replicate 3	SRX27868881	Illumina NovaSeq X Plus sequencing: GSM8826811: SMA scramble CS83 replicate 3 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	89893509	27147839718	5817626144;5801776717	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/029/SRR32559029/SRR32559029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/029/SRR32559029/SRR32559029_2.fastq.gz	62edc7d24d8162a7df491beb221fded6;03c5af0f07c2ca467ac818b9b00dca0f
SRR32559031	SAMN47202618	SMA scramble CS83 replicate 1	SRX27868879	Illumina NovaSeq X Plus sequencing: GSM8826809: SMA scramble CS83 replicate 1 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	76461101	23091252502	4970043968;4925398964	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/031/SRR32559031/SRR32559031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/031/SRR32559031/SRR32559031_2.fastq.gz	6454edaf33e0ebd27c81288b86ed306d;708ad54b5932c9af9a55a908e0c1ec5e
SRR32559042	SAMN47202628	WT R1 replicate 3	SRX27868869	Illumina NovaSeq X Plus sequencing: GSM8826799: WT R1 replicate 3 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	76605566	23134880932	4872783938;4865724534	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/042/SRR32559042/SRR32559042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/042/SRR32559042/SRR32559042_2.fastq.gz	43e6a820120eb85c24488853f2d2829f;08b3f28c9372fbf7ef4c3557ca00b4f4
SRR32559044	SAMN47202630	WT R1 replicate 1	SRX27868867	Illumina NovaSeq X Plus sequencing: GSM8826797: WT R1 replicate 1 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	68023686	20543153172	4386722457;4355242360	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/044/SRR32559044/SRR32559044_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/044/SRR32559044/SRR32559044_2.fastq.gz	c7174ff1e58c8876b8dd63104ca5b392;8b0bd3b64c3cec8efe80598cb1a4e7ad
SRR32559020	SAMN47202606	SMA scramble N3 replicate 2	SRX27868891	Illumina NovaSeq X Plus sequencing: GSM8826821: SMA scramble N3 replicate 2 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	75560089	22819146878	4792072328;4745600072	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/020/SRR32559020/SRR32559020_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/020/SRR32559020/SRR32559020_2.fastq.gz	06e489f30a6f53524b1fb3fa28925328;b5ec40fb8daf0c860525203209987599
SRR32559022	SAMN47202609	SMA NT N3 replicate 2	SRX27868888	Illumina NovaSeq X Plus sequencing: GSM8826818: SMA NT N3 replicate 2 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	69419840	20964791680	4510106642;4453693197	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/022/SRR32559022/SRR32559022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/022/SRR32559022/SRR32559022_2.fastq.gz	35bc8d7e7a8b91696b559b107440f0da;c4cc8e0992ec7637c73388b0d29c9b38
SRR32559035	SAMN47202621	SMA NT CS83 replicate 1	SRX27868876	Illumina NovaSeq X Plus sequencing: GSM8826806: SMA NT CS83 replicate 1 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	64421922	19455420444	4221785989;4195798795	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/035/SRR32559035/SRR32559035_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/035/SRR32559035/SRR32559035_2.fastq.gz	69ef86a175ed77433af93760a90f1b07;2c94d25a6c4e1d82fd0dfa7bb778b6a1
SRR32559038	SAMN47202625	WT CS5 replicate 3	SRX27868872	Illumina NovaSeq X Plus sequencing: GSM8826802: WT CS5 replicate 3 Homo sapiens RNA-Seq	Homo sapiens	PAIRED	RNA-Seq	ILLUMINA	Illumina NovaSeq X Plus	79381846	23973317492	5163553498;5130221920	ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/038/SRR32559038/SRR32559038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/038/SRR32559038/SRR32559038_2.fastq.gz	a2cb5da22fdc3ac704cff4f4720127b7;8cc35932e23126f5711f010ea05b91c3
