iteration	bootstrap_eligible_genes	selected_complete_pattern_genes	frozen_37_selected	natural_design_attempts
1	10589	52	28	2
2	10589	41	13	4
3	10589	43	30	1
4	10589	43	25	2
5	10589	39	12	3
6	10589	25	19	1
7	10589	34	25	2
8	10589	57	25	1
9	10589	39	29	2
10	10589	38	25	3
11	10589	47	31	1
12	10589	33	21	1
13	10589	39	26	1
14	10589	37	30	1
15	10589	35	15	1
16	10589	28	10	4
17	10589	29	11	1
18	10589	36	13	1
19	10589	32	20	1
20	10589	33	15	1
21	10589	41	25	1
22	10589	17	8	1
23	10589	39	26	3
24	10589	37	23	3
25	10589	43	26	2
26	10589	37	31	1
27	10589	19	6	1
28	10589	36	15	1
29	10589	35	22	1
30	10589	35	25	1
31	10589	38	23	2
32	10589	36	23	1
33	10589	29	8	1
34	10589	26	14	1
35	10589	37	14	2
36	10589	33	15	5
37	10589	26	10	2
38	10589	44	12	1
39	10589	45	27	1
40	10589	37	23	1
41	10589	39	20	1
42	10589	39	26	1
43	10589	44	32	6
44	10589	48	23	1
45	10589	36	21	1
46	10589	32	12	1
47	10589	27	10	1
48	10589	31	18	1
49	10589	40	26	1
50	10589	30	23	2
51	10589	29	11	1
52	10589	35	14	1
53	10589	36	23	1
54	10589	40	34	1
55	10589	42	22	2
56	10589	39	22	1
57	10589	42	29	1
58	10589	46	29	1
59	10589	32	13	1
60	10589	38	31	5
61	10589	34	25	1
62	10589	30	13	1
63	10589	56	20	1
64	10589	40	34	1
65	10589	43	25	1
66	10589	35	11	3
67	10589	34	28	3
68	10589	41	12	1
69	10589	36	29	1
70	10589	39	12	4
71	10589	45	29	1
72	10589	39	33	2
73	10589	57	21	2
74	10589	29	12	2
75	10589	36	24	1
76	10589	43	25	2
77	10589	40	25	1
78	10589	33	15	1
79	10589	45	25	2
80	10589	44	28	1
81	10589	37	30	1
82	10589	42	26	2
83	10589	35	27	1
84	10589	39	25	1
85	10589	26	14	3
86	10589	33	17	1
87	10589	34	22	1
88	10589	26	14	2
89	10589	35	14	1
90	10589	41	25	2
91	10589	48	23	1
92	10589	34	14	1
93	10589	33	28	1
94	10589	47	31	2
95	10589	42	22	1
96	10589	39	24	1
97	10589	36	29	1
98	10589	39	29	2
99	10589	35	14	1
100	10589	28	12	1
101	10589	34	28	3
102	10589	34	21	1
103	10589	44	23	1
104	10589	37	30	1
105	10589	36	23	1
106	10589	36	14	3
107	10589	49	26	1
108	10589	39	16	1
109	10589	31	23	1
110	10589	30	16	1
111	10589	37	28	1
112	10589	47	31	1
113	10589	29	11	1
114	10589	32	20	1
115	10589	38	25	3
116	10589	30	12	1
117	10589	34	25	1
118	10589	42	30	1
119	10589	37	30	2
120	10589	25	13	1
121	10589	34	25	1
122	10589	27	9	1
123	10589	51	17	1
124	10589	30	12	1
125	10589	42	24	2
126	10589	37	29	1
127	10589	37	29	1
128	10589	32	17	1
129	10589	30	12	2
130	10589	36	15	3
131	10589	57	25	3
132	10589	32	22	1
133	10589	47	31	2
134	10589	41	24	1
135	10589	40	34	2
136	10589	36	15	2
137	10589	43	30	1
138	10589	42	23	1
139	10589	42	31	1
140	10589	37	29	1
141	10589	44	32	1
142	10589	48	30	2
143	10589	46	28	1
144	10589	38	31	1
145	10589	36	24	2
146	10589	32	11	3
147	10589	33	17	1
148	10589	47	31	2
149	10589	43	30	1
150	10589	36	15	1
151	10589	44	24	3
152	10589	34	25	4
153	10589	45	24	1
154	10589	46	28	2
155	10589	36	23	1
156	10589	46	28	1
157	10589	43	31	2
158	10589	56	20	1
159	10589	41	13	1
160	10589	26	14	1
161	10589	35	14	1
162	10589	48	28	1
163	10589	31	11	2
164	10589	37	26	1
165	10589	34	20	1
166	10589	28	17	1
167	10589	29	23	1
168	10589	52	22	5
169	10589	26	11	1
170	10589	32	12	2
171	10589	46	30	1
172	10589	44	32	1
173	10589	30	14	2
174	10589	40	34	2
175	10589	42	29	1
176	10589	36	30	6
177	10589	42	30	2
178	10589	43	23	3
179	10589	37	22	2
180	10589	39	24	5
181	10589	39	26	1
