gene_symbol	score_variant	score	eligible_universe_rank
LY6H	equal_weights	0.963755959738654	2
HS3ST5	equal_weights	0.959826946847961	3
ZNF853	equal_weights	0.882637294720113	50
IL17D	equal_weights	0.857098710930602	89
LSAMP	equal_weights	0.862241744658309	81
FAAH	equal_weights	0.851558361292601	98
C12orf60	equal_weights	0.827233798340102	143
KCNJ4	equal_weights	0.822752957796221	150
CABLES2	equal_weights	0.792093413385132	225
PNCK	equal_weights	0.863323326858556	74
CLPTM1	equal_weights	0.841338513155571	114
PDPR	equal_weights	0.761257284125022	341
HEY1	equal_weights	0.930182765318736	14
NRN1	equal_weights	0.881577785625993	52
KCNIP2	equal_weights	0.878399258343634	54
ROBO2	equal_weights	0.858798340102419	87
UGT8	equal_weights	0.824651244923185	147
CTBP1-DT	equal_weights	0.771896521278475	307
RAB28	equal_weights	0.75960180116546	355
SHQ1	equal_weights	0.736888574960269	482
SPIN1	equal_weights	0.726536288186474	558
SLC38A9	equal_weights	0.722033374536465	600
ADCYAP1R1	equal_weights	0.92071340279004	20
HLA-DPB1	equal_weights	0.90557125198658	32
ZMAT4	equal_weights	0.901553946671376	36
LINC00665	equal_weights	0.862926010948261	75
FCSK	equal_weights	0.862683206780858	78
LRRC4	equal_weights	0.8369459650362	123
PFKFB2	equal_weights	0.829021719936429	137
ADHFE1	equal_weights	0.817080169521455	162
ZNF615	equal_weights	0.807897757372417	185
TTTY15	equal_weights	0.791409147095179	229
ATP9B	equal_weights	0.78637647889811	247
ZNF204P	equal_weights	0.775516510683384	288
EIF4ENIF1	equal_weights	0.696053328624404	860
ZNF827	equal_weights	0.69371357937489	883
RIOX1	equal_weights	0.688791276708459	922
LY6H	external_double_weight	0.970236623697687	1
HS3ST5	external_double_weight	0.949717464241568	7
ZNF853	external_double_weight	0.889431396786156	53
IL17D	external_double_weight	0.869018188239449	93
LSAMP	external_double_weight	0.870130672788275	92
FAAH	external_double_weight	0.851024192124316	128
C12orf60	external_double_weight	0.835678968744482	153
KCNJ4	external_double_weight	0.837462475719583	151
CABLES2	external_double_weight	0.808008122903055	235
PNCK	external_double_weight	0.879772205544764	68
CLPTM1	external_double_weight	0.838168815115663	149
PDPR	external_double_weight	0.717049267172877	787
HEY1	external_double_weight	0.938945788451351	12
NRN1	external_double_weight	0.883356877979869	64
KCNIP2	external_double_weight	0.889078227088116	56
ROBO2	external_double_weight	0.858634999117076	112
UGT8	external_double_weight	0.84177114603567	143
CTBP1-DT	external_double_weight	0.755297545470599	485
RAB28	external_double_weight	0.746892106657249	554
SHQ1	external_double_weight	0.702975454705987	924
SPIN1	external_double_weight	0.686941550414974	1139
SLC38A9	external_double_weight	0.721799399611513	746
ADCYAP1R1	external_double_weight	0.935714285714285	14
HLA-DPB1	external_double_weight	0.902692918947554	39
ZMAT4	external_double_weight	0.915671905350521	30
