panel_order	gene_symbol	event_type	frozen_event_id	plot_event_source	pdf_path	sha256
1	MRFAP1	RI	24328	frozen_plot_only_definition	figures/sashimi/supplementary_figure_S12_MRFAP1_RI_raw_sashimi.pdf	c1f241da1e33dfe72b86f827f0cf082060fac8abe2312608e4954c721ea5bb37
2	IFI27L1	ES	59357	frozen_plot_only_definition	figures/sashimi/supplementary_figure_S13_IFI27L1_ES_raw_sashimi.pdf	9af07fa9e866933b67e300565351ffa3b61f3f02bf10277a15df0c2cd624d14c
3	PDE9A	ES	298490	frozen_plot_only_definition	figures/sashimi/supplementary_figure_S14_PDE9A_ES_raw_sashimi.pdf	08b8b1cb950adbaf98804f4857904f4f24d2107f1aab956a337540f1c22fb8ba
4	HERPUD1	A5SS	36573	frozen_plot_only_definition	figures/sashimi/supplementary_figure_S15_HERPUD1_A5SS_raw_sashimi.pdf	867ad88c40cc8f4d9cf79be1ac85261ddfb43e76679a353e926fbc15480eba13
5	ABCA1	RI	2374	frozen_plot_only_definition	figures/sashimi/supplementary_figure_S16_ABCA1_RI_raw_sashimi.pdf	817c0450a40fbd3d0264a41a027bc82c5b4cc2c1b28c7e304f3b67552adc2964
6	SAT2	ES	287415	frozen_plot_only_definition	figures/sashimi/supplementary_figure_S17_SAT2_ES_raw_sashimi.pdf	64d6a2023acaa07a3ce1f4ed29f832ff7a86abf6f1bf26b28a07a1e96e07fe35
7	TNPO2	A3SS	132631	frozen_plot_only_definition	figures/sashimi/supplementary_figure_S18_TNPO2_A3SS_raw_sashimi.pdf	1e68622efc5a743f177e54f108367f55161a0854da02c08ae1b184cd9d72babe
8	SEPTIN11	MXE	18721	frozen_plot_only_definition	figures/sashimi/supplementary_figure_S19_SEPTIN11_MXE_raw_sashimi.pdf	9784f3313a8409b089d80f6c16e3ad557af140557064448dd341e5a379c1f873
9	FAT3	MXE	111285	frozen_plot_only_definition	figures/sashimi/supplementary_figure_S20_FAT3_MXE_raw_sashimi.pdf	4e5f0db17b150c209284952bf9ee09af3748490ff538ecf2e7a0d97e7aac067f
10	MGEA5	MXE	93201	frozen_plot_only_definition	figures/sashimi/supplementary_figure_S21_MGEA5_MXE_raw_sashimi.pdf	256b50841439d4fb27849befe18c3d83d4e3b5605082ced2832f33902a53e2b3
11	COL5A2	RI	8550	frozen_plot_only_definition	figures/sashimi/supplementary_figure_S22_COL5A2_RI_raw_sashimi.pdf	85a9899a4a2c055e219d31344f4233edcc43067c903bf56e579b2d3c60a472ac
12	EIF5	A5SS	57395	frozen_plot_only_definition	figures/sashimi/supplementary_figure_S23_EIF5_A5SS_raw_sashimi.pdf	ea7b2a8ec1612eabaed8ae083d43854610c40688848c39409ec5240d576094bb
