gene_symbol	median_rank	minimum_rank	maximum_rank	rank_range	variants_in_top100	variants_tested
LY6H	5	1	47	46	9	9
HS3ST5	7	2	46	44	9	9
ZNF853	53	28	225	197	5	9
IL17D	152	46	325	279	4	9
LSAMP	99	76	294	218	5	9
FAAH	133	60	496	436	2	9
C12orf60	170	85	549	464	1	9
KCNJ4	192	94	527	433	1	9
CABLES2	295	138	795	657	0	9
PNCK	74	15	277	262	5	9
CLPTM1	151	98.5	418	319.5	1	9
PDPR	606	224	957	733	0	9
HEY1	19	9	99	90	9	9
NRN1	64	28	250	222	5	9
KCNIP2	90	32	256	224	6	9
ROBO2	112	66	396	330	3	9
UGT8	237	78	493	415	2	9
CTBP1-DT	485	169	1153	984	0	9
RAB28	504	201	1129	928	0	9
SHQ1	482	273	1653	1380	0	9
SPIN1	924	424	1330.5	906.5	0	9
SLC38A9	765	359	1824	1465	0	9
ADCYAP1R1	30	14	162	148	7	9
HLA-DPB1	39	14	160	146	6	9
ZMAT4	45	18	156	138	6	9
LINC00665	143	49	280	231	4	9
FCSK	164	44	296	252	4	9
LRRC4	157	78	448	370	3	9
PFKFB2	198	97	541	444	1	9
ADHFE1	171	43	556	513	2	9
ZNF615	240	82	625	543	1	9
TTTY15	270	139	758	619	0	9
ATP9B	438	141	791	650	0	9
ZNF204P	387	159	924	765	0	9
EIF4ENIF1	1035.5	571	2288	1717	0	9
ZNF827	1043	607	2607	2000	0	9
RIOX1	1190	504	3075.5	2571.5	0	9
