gene_symbol	selection_frequency	natural_positive_frequency	disease_negative_frequency	treatment_positive_frequency	external_negative_fixed	median_rank	rank_q025	rank_q975	rank_estimable_iterations	iterations
LY6H	0.898	0.987	0.909	1	TRUE	14	1	332.316666666667	1000	1000
HS3ST5	0.959	0.959	1	1	TRUE	18	3	167.4625	1000	1000
ZNF853	0.949	0.984	0.964	1	TRUE	82.75	36.3416666666667	318.633333333333	1000	1000
IL17D	0.941	0.941	1	1	TRUE	141	58	1060.16666666667	1000	1000
LSAMP	0.491	0.942	0.731	0.728	TRUE	229	29.1708333333333	3337.01666666667	1000	1000
FAAH	0.689	0.959	0.909	0.784	TRUE	164	23	2800	1000	1000
C12orf60	0.506	0.996	0.693	0.728	TRUE	287.5	50.3416666666667	3975.975	1000	1000
KCNJ4	0.62	0.993	0.625	1	TRUE	229	40.3416666666667	1383.24166666667	1000	1000
CABLES2	0.523	0.984	0.681	0.784	TRUE	303	38	2342.05	1000	1000
PNCK	0.89	0.89	1	1	TRUE	110	47	1164.4625	1000	1000
CLPTM1	0.86	0.923	0.933	1	TRUE	247	86	1347.25416666667	1000	1000
PDPR	0.939	0.939	1	1	TRUE	694	293.341666666667	2822.8	1000	1000
HEY1	0.603	0.995	0.836	0.728	TRUE	37	2	2742.41666666667	1000	1000
NRN1	0.703	0.941	0.745	1	TRUE	86	17	1600.48333333333	1000	1000
KCNIP2	0.482	0.97	0.678	0.728	TRUE	212.5	14.3416666666667	4022.32083333333	1000	1000
ROBO2	0.542	0.961	0.563	1	TRUE	289.25	27	3682.425	1000	1000
UGT8	0.644	0.99	0.898	0.728	TRUE	193	70	1017.31666666667	1000	1000
CTBP1-DT	0	0.991	0	0	TRUE				0	1000
RAB28	0.523	0.948	0.553	1	TRUE	608.25	95.3416666666667	3494.725	1000	1000
SHQ1	0.574	0.984	0.583	1	TRUE	602	189.341666666667	2845.32083333333	1000	1000
SPIN1	0.575	0.942	0.846	0.728	TRUE	1202	343.854166666667	4120.62083333333	1000	1000
SLC38A9	0.506	0.968	0.72	0.728	TRUE	983	306.025	3854.1625	1000	1000
ADCYAP1R1	0.64	0.991	0.89	0.728	TRUE	76	9.34166666666667	3351.57916666666	1000	1000
HLA-DPB1	0.744	0.998	0.745	1	TRUE	15	4	897.975	1000	1000
ZMAT4	0.661	0.904	0.732	1	TRUE	150.75	12.3416666666667	2221.125	1000	1000
LINC00665	0.718	0.987	1	0.728	TRUE	146	60	663.829166666667	1000	1000
FCSK	0	0	0	0	TRUE				0	1000
LRRC4	0.539	0.958	0.768	0.728	TRUE	229	15	3288.4625	1000	1000
PFKFB2	0.429	0.829	0.709	0.728	TRUE	400	77	4688.8625	1000	1000
ADHFE1	0.696	0.957	1	0.728	TRUE	226.75	63	2560.00833333333	1000	1000
ZNF615	0.721	0.99	1	0.728	TRUE	236	48	1371.65833333333	1000	1000
TTTY15	0.663	0.914	1	0.728	TRUE	446	103	3503.53333333333	1000	1000
ATP9B	0.707	0.972	1	0.728	TRUE	335	162.341666666667	1814.75	1000	1000
ZNF204P	0.529	0.983	0.687	0.784	TRUE	404	36	3625.45416666667	1000	1000
EIF4ENIF1	0.553	0.909	0.824	0.728	TRUE	1178.5	460.854166666667	5237.75416666667	1000	1000
ZNF827	0.477	0.992	0.639	0.728	TRUE	1692.75	487	6040.53333333333	1000	1000
RIOX1	0	0.99	0	0	TRUE				0	1000
