publication_priority_order	publication_evidence_tier	publication_evidence_tier_rank	gene_symbol	frozen_discovery_rank_unchanged	exploratory_cross_model_rank	cross_model_resilience_score	omn_log2_effect_omn_vs_sc	omn_p_value	omn_q_value	disease_sma_vs_control_log2_effect	treatment_r6_vs_scramble_log2_effect	gse108094_sma_vs_control_log2_effect	all_estimable_biological_unit_checks_robust	local9_disease_raw_log2_effect	local9_disease_raw_p_value	local9_disease_raw_q_value	local9_disease_raw_lolo_folds_tested	local9_disease_raw_lolo_all_same_direction	local9_treatment_raw_log2_effect	local9_treatment_raw_p_value	local9_treatment_raw_q_value	local9_treatment_raw_treatment_lines	local9_treatment_raw_treatment_lines_same_direction	local9_raw_disease_opposes_natural	local9_raw_r6_aligns_natural	local9_raw_disease_lolo_robust	local9_raw_treatment_line_robust	local9_raw_full_directional_pattern	local9_raw_direction_and_unit_robust	local9_raw_confirmation_tier	gse69175_disease_opposes_natural	gse290980_mn_opposes_natural_resistance	gse243076_adult_mn_detected	gse243076_adult_mn_localized	strict_splicing	raw_confirmation_is_independent_validation
1	tier_1_raw_and_processed_unit_robust	1	LY6H	2	1	0.963755959738654	5.56956232252201	0.00983889596569927	0.719026517173303	-0.524582051718092	0.259537495315928	-7.54905	TRUE	-1.29243680215301	0.0242271387032677	0.367921740824065	5	TRUE	0.383647521894232	0.23935076560927	0.934520059959741	2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	raw_direction_and_unit_robust	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
2	tier_1_raw_and_processed_unit_robust	1	HS3ST5	3	2	0.95982694684796	4.31559940946611	0.0163287363292541	0.762581209619465	-0.967130457888476	0.364466404606172	-1.10274	TRUE	-1.39391667885757	0.100945677648528	0.548439768328671	5	TRUE	0.757359150647218	0.0686468568265481	0.934520059959741	2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	raw_direction_and_unit_robust	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
3	tier_1_raw_and_processed_unit_robust	1	ZNF853	50	7	0.882637294720113	4.67609098010357	0.0221047187779282	0.762581209619465	-0.146653187308918	0.215002504535338	-1.18673	TRUE	-0.616359756252208	0.081360510152026	0.516452992514415	5	TRUE	0.281497957894192	0.162362722771674	0.934520059959741	2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	raw_direction_and_unit_robust	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
4	tier_1_raw_and_processed_unit_robust	1	IL17D	89	15	0.857098710930602	4.8856868304971	0.0208315926556746	0.762581209619465	-0.450993321742151	0.0525133942880318	-1.18703	TRUE	-1.00998437172959	0.0697647231168449	0.492567886671013	5	TRUE	0.131141910299195	0.689278020900546	0.969687690170271	2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	raw_direction_and_unit_robust	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
5	tier_2_raw_unit_robust	2	LSAMP	81	13	0.862241744658308	2.44743885648062	0.0138441658167362	0.762581209619465	-0.228967900179199	0.171405824360718	-1.0213	FALSE	-0.476449410781651	0.176858693515289	0.633413779647425	5	TRUE	0.280236917984388	0.238435661281515	0.934520059959741	2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	raw_direction_and_unit_robust	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
6	tier_2_raw_unit_robust	2	FAAH	98	16	0.851558361292601	4.26282622031241	0.0229347506751783	0.762581209619465	-0.243246065102207	0.11889577969623	-0.672111	FALSE	-0.694561189966287	0.171271403115283	0.627598472971099	5	TRUE	0.42573333427481	0.156932636470733	0.934520059959741	2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	raw_direction_and_unit_robust	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
7	tier_2_raw_unit_robust	2	C12orf60	143	20	0.827233798340102	4.98440661615806	0.0236337253565432	0.762581209619465	-0.10277878339762	0.119507839368144	-0.783205	FALSE	-0.274957941883322	0.634524780670657	0.90386933259607	5	TRUE	0.446769148631846	0.367289585151989	0.934520059959741	2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	raw_direction_and_unit_robust	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
8	tier_2_raw_unit_robust	2	KCNJ4	150	22	0.822752957796221	4.5906315043317	0.0244030913139715	0.762581209619465	-0.0882517806626377	0.11025567794923	-0.964349	FALSE	-0.657688422165745	0.261281963866351	0.707043580080377	5	TRUE	0.223144246675544	0.406023222431723	0.936030439498649	2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	raw_direction_and_unit_robust	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
9	tier_2_raw_unit_robust	2	CABLES2	225	25	0.792093413385132	4.3108808447083	0.00436412567375344	0.547781056897159	-0.115992522298723	0.0578237653341124	-0.797231	FALSE	-0.250493647700264	0.550817072898916	0.870645274893564	5	TRUE	0.257009700844178	0.277162740477276	0.934520059959741	2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	raw_direction_and_unit_robust	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
10	tier_3_processed_unit_robust	3	PNCK	74	10	0.863323326858556	3.73947292984721	0.0366370534982643	0.812245371900031	-1.62289615603057	0.034322202124933	-1.82301	TRUE	-1.85680354718215	0.0282865980776351	0.385197443982933	5	TRUE	-0.0639726307349229	0.839017190483159	0.988022013113797	2	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	raw_tested_not_full_pattern	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
11	tier_3_processed_unit_robust	3	CLPTM1	114	17	0.841338513155571	2.31970758901441	0.0469116546529065	0.833874019440457	-0.218746348969101	0.179674965270909	-0.590703	TRUE	-0.648543982192086	0.069329070562557	0.491873033032949	5	TRUE	0.0509332394948571	0.792034148272426	0.984169108060176	2	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	raw_direction_only	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
12	tier_3_processed_unit_robust	3	PDPR	341	30	0.761257284125022	3.30401595978975	0.0221408959498852	0.762581209619465	-0.340968901332952	0.081333480757454	-0.0353508	TRUE	-0.181967561770827	0.586210883368588	0.885569061852203	5	TRUE	0.130254898145327	0.530304098804701	0.951178420843688	2	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	raw_direction_only	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
13	tier_4_raw_direction_only	4	HEY1	14	3	0.930182765318736	4.65021817141024	0.00412209659182194	0.537933605232763	-0.327714204586629	0.212407072197795	-3.29587	FALSE	-0.868931700225061	0.127219015829785	0.583015602294874	5	TRUE	0.303896268565585	0.586992621033426	0.957127959384601	2	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	raw_direction_only	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
14	tier_4_raw_direction_only	4	NRN1	52	8	0.881577785625993	4.7264446801298	0.045933741363966	0.833874019440457	-0.125516326725654	0.289758642664256	-0.914511	FALSE	-0.902632567898959	0.139679271216619	0.597029193199458	5	TRUE	0.612611293031043	0.283874950770601	0.934520059959741	2	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	raw_direction_only	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
15	tier_4_raw_direction_only	4	KCNIP2	54	9	0.878399258343634	4.69363601900335	0.0268689679331141	0.776654871893869	-0.275365237083269	0.116817883359381	-1.45109	FALSE	-1.05388078762307	0.159020182224429	0.616052627393343	5	TRUE	0.343439789793242	0.372587700431787	0.934520059959741	2	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	raw_direction_only	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
16	tier_4_raw_direction_only	4	ROBO2	87	14	0.858798340102419	3.01461788719088	0.0239287940413093	0.762581209619465	-0.225148272454748	0.162863528820008	-0.715684	FALSE	-0.271611139367643	0.562641759243599	0.874937123525763	5	TRUE	0.139688808119844	0.476140616750407	0.94584844397081	2	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	raw_direction_only	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
17	tier_4_raw_direction_only	4	UGT8	147	21	0.824651244923186	5.22949107795885	0.0249263226691742	0.764670753076924	-0.323596093922616	0.0307002431993206	-1.11705	FALSE	-0.534260447185271	0.390963935304196	0.792020448531303	5	TRUE	0.255473220949584	0.489856283069869	0.946048888251242	2	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	raw_direction_only	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
18	tier_4_raw_direction_only	4	CTBP1-DT	307	29	0.771896521278474	4.96606931543284	0.0137228434427572	0.762581209619465	-0.218692764774816	0.0553113294584805	-0.281586	FALSE	-0.557808649591716	0.270527940762766	0.71479324250483	5	TRUE	0.0188759476881015	0.931883974018077	0.993397415642686	2	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	raw_direction_only	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
19	tier_4_raw_direction_only	4	RAB28	355	31	0.75960180116546	4.83515076420511	0.0109377788222956	0.746265133506253	-0.00450410298941493	0.139770083246733	-0.291883	FALSE	-0.182419458013035	0.691412120720147	0.923362842740495	5	FALSE	0.462555366996814	0.242935572558134	0.934520059959741	2	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	raw_direction_only	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
20	tier_4_raw_direction_only	4	SHQ1	482	32	0.736888574960268	4.7887517414343	0.0182922883297769	0.762581209619465	-0.0281738860237375	0.143149265642894	-0.0788579	FALSE	-1.8718639953826	0.14665926507149	0.60450312099541	5	FALSE	2.04093552831955	0.163164792574177	0.934520059959741	2	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	raw_direction_only	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
