metric	value
analysis_status	COMPLETE
frozen_candidate_count	37
raw_libraries	9
raw_integrity_checks_passed	13
raw_quantification_method	salmon_transcriptome_quasimapping
whole_genome_alignment	FALSE
random_split_used	FALSE
raw_confirmation_independent_validation	FALSE
raw_candidate_genes_mapped	35
raw_full_directional_pattern	21
processed_unit_robust_candidates	7
raw_unit_robust_candidates	9
raw_and_processed_unit_robust_candidates	4
raw_or_processed_unit_robust_candidates	12
tier_1_candidates	4
tier_2_candidates	5
tier_3_candidates	3
tier_4_candidates	10
tier_5_candidates	15
tier_1_genes	HS3ST5;IL17D;LY6H;ZNF853
tier_2_genes	C12orf60;CABLES2;FAAH;KCNJ4;LSAMP
tier_3_genes	CLPTM1;PDPR;PNCK
raw_unit_robust_genes	C12orf60;CABLES2;FAAH;HS3ST5;IL17D;KCNJ4;LSAMP;LY6H;ZNF853
processed_unit_robust_genes	CLPTM1;HS3ST5;IL17D;LY6H;PDPR;PNCK;ZNF853
raw_splice_target_events	83
raw_splice_primary_events	12
raw_splice_exact_recovered_both_contrasts	6
raw_splice_primary_exact_recovered	1
raw_splice_full_two_line_confirmed	0
raw_splice_disease_processed_spearman	0.714285714285714
raw_splice_treatment_processed_spearman	0
