metric	value
analysis_completed	2026-08-05T14:35:18+0600
analysis_role	prospective_targeted_raw_splice_junction_confirmation
frozen_event_manifest	frozen_83_splice_events_2026-08-01.tsv
frozen_primary_manifest	frozen_12_primary_splice_events_2026-08-01.tsv
event_matching	exact_event_class_chromosome_strand_and_all_coordinates
disease_group1	SMA_untreated_S2_S3
disease_group2	control_untreated_C1_C2_C3
treatment_group1	R6-MO_S2_S3
treatment_group2	scramble_S2_S3
rmats_fdr_scope	rMATS_target_locus_de_novo_not_genome_wide
confirmatory_multiplicity	BH_within_frozen_83
primary_panel_success	FALSE
