event_type	event_key	gene_symbol	chromosome	strand	disease_event_id	disease_fdr	sma_mean_inclusion	control_mean_inclusion	disease_delta_sma_minus_control	treatment_event_id	treatment_fdr	scramble_mean_inclusion	r6_mean_inclusion	rmats_delta_scramble_minus_r6	treatment_delta_r6_minus_scramble	S2_scramble_mean	S2_r6_mean	S2_treatment_delta	S3_scramble_mean	S3_r6_mean	S3_treatment_delta	pooled_distance_improvement	S2_distance_improvement	S2_direction_reversal	S3_distance_improvement	S3_direction_reversal	biological_direction_reversal	corrected_rescue	strict_corrected_rescue
ES	ES|YWHAE|chr17|-|1361091|1361298|1344539|1345499|1364858|1365058	YWHAE	chr17	-	16778	4.90799006138171e-07	0.045	0.160333333333333	-0.115	16810	0.0180871569425362	0.06375	0.164875	-0.101	0.101	0.0915	0.16125	0.06975	0.036	0.1685	0.1325	0.0920416666666667	0.0679166666666667	TRUE	0.116166666666667	TRUE	TRUE	TRUE	TRUE
ES	ES|TEX30|chr13|-|102770011|102770086|102769310|102769541|102773681|102773821	TEX30	chr13	-	26778	0.00337719302858437	0.543166666666667	0.848	-0.305	26717	0.0205026174883029	0.53375	0.74225	-0.209	0.209	0.5565	0.64425	0.08775	0.511	0.84025	0.32925	0.2085	0.08775	TRUE	0.32925	TRUE	TRUE	TRUE	TRUE
ES	ES|CCDC15|chr11|+|124993168|124993243|124987126|124988134|125003866|125003959	CCDC15	chr11	+	37864	0.00996168977101418	0.897666666666667	0.771444444444444	0.126	37737	0.000906133846359051	0.9595	0.821875	0.138	-0.138	0.941	0.69775	-0.24325	0.978	0.946	-0.032	0.137625	0.0958611111111111	TRUE	0.032	TRUE	TRUE	TRUE	TRUE
ES	ES|OTUD3|chr1|+|19894367|19894480|19890384|19890533|19897539|19897662	OTUD3	chr1	+	45325	7.76129364688834e-06	0.759166666666667	0.894555555555556	-0.135	45196	0.034312273735741	0.751875	0.8595	-0.108	0.108	0.80275	0.877	0.07425	0.701	0.842	0.141	0.107625	0.07425	TRUE	0.141	TRUE	TRUE	TRUE	TRUE
ES	ES|TXNDC11|chr16|-|11733981|11734079|11721576|11721670|11736016|11736233	TXNDC11	chr16	-	54897	2.72564693626753e-07	0.8575	0.973444444444444	-0.116	55028	0.00471397189586451	0.82	0.94875	-0.129	0.129	0.91625	0.93525	0.019	0.72375	0.96225	0.2385	0.12875	0.019	TRUE	0.2385	TRUE	TRUE	TRUE	TRUE
ES	ES|IFI27L1|chr14|+|94101813|94101975|94096840|94096965|94102476|94102714	IFI27L1	chr14	+	59357	6.89325021668726e-09	0.660666666666667	0.978888888888889	-0.318	59447	0.00751115556244436	0.679375	0.87575	-0.196	0.196	0.713	0.923	0.21	0.64575	0.8285	0.18275	0.196375	0.21	TRUE	0.18275	TRUE	TRUE	TRUE	TRUE
ES	ES|TTLL3|chr3|+|9817644|9817759|9813247|9813345|9818821|9818920	TTLL3	chr3	+	62972	0.012260964837008	0.863333333333333	1	-0.137	63156	0.000124233231457694	0.841625	0.965625	-0.124	0.124	0.91775	0.969	0.0512499999999999	0.7655	0.96225	0.19675	0.124	0.0512499999999999	TRUE	0.19675	TRUE	TRUE	TRUE	TRUE
ES	ES|MAD1L1|chr7|-|2230548|2230764|2222574|2222754|2232871|2232948	MAD1L1	chr7	-	74244	1.21682937651622e-06	0.989666666666667	0.757222222222222	0.232	74507	0.00120915914150496	0.9565	0.851	0.105	-0.105	0.95325	0.93525	-0.018	0.95975	0.76675	-0.193	0.1055	0.018	TRUE	0.193	TRUE	TRUE	TRUE	TRUE
ES	ES|NCKAP5|chr2|-|132781939|132785718|132773815|132773894|132790022|132790205	NCKAP5	chr2	-	78781	5.28878329734775e-05	0.755666666666667	0.945555555555556	-0.19	79072	0.0298705570606936	0.6965	0.861875	-0.165	0.165	0.6555	0.86525	0.20975	0.7375	0.8585	0.121	0.165375	0.20975	TRUE	0.121	TRUE	TRUE	TRUE	TRUE
ES	ES|NCALD|chr8|-|101779923|101779979|101692790|101692896|101790861|101791211	NCALD	chr8	-	97689	0.0057022366766302	0.760166666666667	0.984555555555556	-0.224	98074	0.00209545339598344	0.836125	0.944125	-0.108	0.108	0.74525	0.88825	0.143	0.927	1	0.073	0.108	0.143	TRUE	0.042111111111111	TRUE	TRUE	TRUE	TRUE
