ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
16778	YWHAE	YWHAE	chr17	-	1361091	1361298	1344539	1345499	1364858	1365058
26778	TEX30	TEX30	chr13	-	102770011	102770086	102769310	102769541	102773681	102773821
37864	CCDC15	CCDC15	chr11	+	124993168	124993243	124987126	124988134	125003866	125003959
45325	OTUD3	OTUD3	chr1	+	19894367	19894480	19890384	19890533	19897539	19897662
54897	TXNDC11	TXNDC11	chr16	-	11733981	11734079	11721576	11721670	11736016	11736233
59357	IFI27L1	IFI27L1	chr14	+	94101813	94101975	94096840	94096965	94102476	94102714
62972	TTLL3	TTLL3	chr3	+	9817644	9817759	9813247	9813345	9818821	9818920
74244	MAD1L1	MAD1L1	chr7	-	2230548	2230764	2222574	2222754	2232871	2232948
78781	NCKAP5	NCKAP5	chr2	-	132781939	132785718	132773815	132773894	132790022	132790205
97689	NCALD	NCALD	chr8	-	101779923	101779979	101692790	101692896	101790861	101791211
117077	GOLGA4	GOLGA4	chr3	+	37273535	37273601	37243190	37243622	37281957	37282272
119569	KIZ	KIZ	chr20	+	21145564	21145654	21125982	21126204	21161870	21162507
137880	UBQLN1	UBQLN1	chr9	-	83678421	83678599	83677726	83677961	83707499	83708253
140297	DENND3	DENND3	chr8	+	141150097	141150348	141144147	141144259	141150833	141150953
145452	LOC155060	LOC155060	chr7	+	149293750	149293842	149293376	149293492	149294379	149294412
155252	ORC3	ORC3	chr6	+	87594526	87594613	87594352	87594407	87603383	87603528
155254	ORC3	ORC3	chr6	+	87594541	87594613	87594352	87594407	87603383	87603528
157278	CUL9	CUL9	chr6	+	43206323	43206510	43206006	43206235	43213148	43213294
163527	CCT3	CCT3	chr1	-	156335826	156335883	156333546	156333643	156338153	156338415
166580	GAS8	GAS8	chr16	+	90027635	90027722	90022599	90022724	90031189	90031484
174849	ZCCHC12	ZCCHC12	chrX	+	118824338	118824386	118823823	118824005	118824588	118824713
175766	C14orf1	C14orf1	chr14	-	75654881	75655130	75651770	75651889	75657369	75657533
195542	ASUN	ASUN	chr12	-	26934555	26934886	26928702	26928905	26936578	26936814
212223	IQCD	IQCD	chr12	-	113207437	113208259	113197540	113197612	113220996	113221094
219697	ECD	ECD	chr10	-	73163732	73163971	73160433	73160551	73167865	73168095
229850	LINC00665	LINC00665	chr19	-	36316177	36316257	36315956	36316070	36321299	36321357
274077	SREK1IP1	SREK1IP1	chr5	-	64764974	64765121	64741056	64741200	64768504	64768669
274080	SREK1IP1	SREK1IP1	chr5	-	64765044	64765121	64741056	64741200	64768504	64768669
287415	SAT2	SAT2	chr17	-	7626761	7626793	7626237	7626614	7627142	7627226
287575	KCNAB3	KCNAB3	chr17	-	7923455	7923631	7921858	7923179	7923710	7923831
294129	ITGA2B	ITGA2B	chr17	-	44378644	44378710	44378361	44378509	44379688	44379814
298490	PDE9A	PDE9A	chr21	+	42698912	42699011	42653751	42653883	42733355	42733426
326985	FAHD2A	FAHD2A	chr2	+	95405552	95405803	95402699	95402992	95412433	95412504
339313	CHD6	CHD6	chr20	-	41414845	41414981	41413323	41413515	41415185	41415638
357583	ABCF3	ABCF3	chr3	+	184187396	184187571	184186795	184186875	184187663	184187761
