ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
2374	ABCA1	ABCA1	chr9	-	104799571	104799988	104799571	104799733	104799818	104799988
5458	ZC3H18	ZC3H18	chr16	+	88623218	88623587	88623218	88623344	88623541	88623587
5561	ANO8	ANO8	chr19	-	17327449	17327880	17327449	17327566	17327688	17327880
8550	COL5A2	COL5A2	chr2	-	189100106	189100418	189100106	189100139	189100333	189100418
10372	ASAP1	ASAP1	chr8	-	130115627	130116014	130115627	130115735	130115817	130116014
11155	NAV1	NAV1	chr1	+	201794171	201794577	201794171	201794376	201794465	201794577
12946	CCNT2	CCNT2	chr2	+	134945786	134946146	134945786	134945975	134946100	134946146
19552	MTHFD1	MTHFD1	chr14	+	64427336	64427761	64427336	64427473	64427651	64427761
22333	CLCN6	CLCN6	chr1	+	11833175	11833638	11833175	11833383	11833514	11833638
24053	ENTHD2	ENTHD2	chr17	-	81238635	81239091	81238635	81238873	81238985	81239091
24328	MRFAP1	MRFAP1	chr4	+	6641231	6641610	6641231	6641258	6641445	6641610
27387	KIF3C	KIF3C	chr2	-	25956066	25956444	25956066	25956166	25956342	25956444
27791	C5orf42	C5orf42	chr5	-	37121616	37122104	37121616	37121784	37121867	37122104
29252	PYGB	PYGB	chr20	+	25288027	25288483	25288027	25288225	25288424	25288483
33444	LARP1	LARP1	chr5	+	154799590	154799928	154799590	154799759	154799899	154799928
