event_key	event_type	gene_symbol	chromosome	strand	disease_exact_matches	treatment_exact_matches	disease_same_gene_class_candidates	treatment_same_gene_class_candidates	disease_same_locus_candidates	treatment_same_locus_candidates	disease_best_coordinate_matches	treatment_best_coordinate_matches	disease_coordinate_fields	treatment_coordinate_fields	disease_structural_match_reason	treatment_structural_match_reason	disease_best_coordinate_mismatch	treatment_best_coordinate_mismatch	disease_raw_event_id	treatment_raw_event_id	disease_raw_delta	treatment_raw_delta	disease_p_value	disease_rmats_fdr_target_locus_discovery	treatment_p_value	treatment_rmats_fdr_target_locus_discovery	raw_control_mean_psi	raw_sma_mean_psi	raw_scramble_mean_psi	raw_r6_mean_psi	S2_raw_disease_psi	S3_raw_disease_psi	S2_raw_scramble_psi	S3_raw_scramble_psi	S2_raw_r6_psi	S3_raw_r6_psi	S2_raw_treatment_delta	S3_raw_treatment_delta	S2_raw_distance_improvement	S3_raw_distance_improvement	sma_median_informative_jc	control_median_informative_jc	r6_median_informative_jc	scramble_median_informative_jc	minimum_group_median_informative_jc	structurally_recovered	adequate_junction_support	disease_direction_reproduced	treatment_reversal_reproduced	S2_corrected	S3_corrected	both_lines_corrected	strong_raw_confirmation	structural_recovery_reason	raw_confirmation_limiting_reason	disease_within83_q	treatment_within83_q	processed_disease_delta	processed_treatment_delta	processed_disease_fdr	processed_treatment_fdr	panel_order	source_gene_symbol
RI|MRFAP1|chr4|+|6641231|6641610|6641231|6641258|6641445|6641610	RI	MRFAP1	chr4	+	0	0	0	0	0	0	0	0	6	6	no_same_gene_event_class_candidate	no_same_gene_event_class_candidate																														FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_no_same_gene_event_class_candidate;treatment_no_same_gene_event_class_candidate	disease_no_same_gene_event_class_candidate;treatment_no_same_gene_event_class_candidate			-0.237	0.184	2.82722563310586e-13	2.53609090235796e-08	1	MRFAP1
ES|IFI27L1|chr14|+|94101813|94101975|94096840|94096965|94102476|94102714	ES	IFI27L1	chr14	+	0	0	8	9	8	9	5	5	6	6	event_coordinate_mismatch	event_coordinate_mismatch	downstreamEE:raw=94102536,frozen=94102714	downstreamEE:raw=94102536,frozen=94102714																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.318	0.196	6.89325021668726e-09	0.00751115556244436	2	IFI27L1
ES|PDE9A|chr21|+|42698912|42699011|42653751|42653883|42733355|42733426	ES	PDE9A	chr21	+	0	0	29	18	29	18	4	3	6	6	event_coordinate_mismatch	event_coordinate_mismatch	exonStart_0base:raw=42698967,frozen=42698912;upstreamES:raw=42653778,frozen=42653751	exonStart_0base:raw=42698967,frozen=42698912;upstreamES:raw=42687916,frozen=42653751;upstreamEE:raw=42687994,frozen=42653883																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.247	0.277	9.9896095124246e-09	0.000418812052514648	3	PDE9A
A5SS|HERPUD1|chr16|+|56935234|56935497|56935234|56935312|56936686|56936817	A5SS	HERPUD1	chr16	+	0	0	0	3	0	3	0	3	6	6	no_same_gene_event_class_candidate	event_coordinate_mismatch		longExonEnd:raw=56935587,frozen=56935497;shortEE:raw=56935497,frozen=56935312;flankingEE:raw=56937413,frozen=56936817																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_no_same_gene_event_class_candidate;treatment_event_coordinate_mismatch	disease_no_same_gene_event_class_candidate;treatment_event_coordinate_mismatch			0.449	-0.177	1.85488931906565e-10	0.0376389433121824	4	HERPUD1
RI|ABCA1|chr9|-|104799571|104799988|104799571|104799733|104799818|104799988	RI	ABCA1	chr9	-	1	0	2	0	2	0	6	0	6	6	exact_match	no_same_gene_event_class_candidate																														FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_exact_match;treatment_no_same_gene_event_class_candidate	disease_exact_match;treatment_no_same_gene_event_class_candidate			-0.375	0.309	2.06693300046761e-05	0.00026183959298312	5	ABCA1
ES|SAT2|chr17|-|7626761|7626793|7626237|7626614|7627142|7627226	ES	SAT2	chr17	-	0	0	19	11	19	11	2	5	6	6	event_coordinate_mismatch	event_coordinate_mismatch	exonStart_0base:raw=7626942,frozen=7626761;exonEnd:raw=7627044,frozen=7626793;upstreamES:raw=7626706,frozen=7626237;upstreamEE:raw=7626793,frozen=7626614	upstreamES:raw=7626533,frozen=7626237																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.502	0.323	0	0.0202303358226256	6	SAT2
A3SS|TNPO2|chr19|-|12705681|12706109|12705681|12705830|12706195|12706367	A3SS	TNPO2	chr19	-	0	0	3	6	3	6	4	4	6	6	event_coordinate_mismatch	event_coordinate_mismatch	longExonEnd:raw=12705830,frozen=12706109;shortEE:raw=12705768,frozen=12705830	longExonEnd:raw=12705830,frozen=12706109;shortEE:raw=12705768,frozen=12705830																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.414	0.281	2.46843973271733e-07	0.00299087704000065	7	TNPO2
MXE|SEPTIN11|chr4|+|76987808|76987870|76995780|76995938|76949713|76949930|76996424|76996539	MXE	SEPTIN11	chr4	+	0	0	0	1	0	1	0	1	8	8	no_same_gene_event_class_candidate	event_coordinate_mismatch		1stExonStart_0base:raw=76996424,frozen=76987808;1stExonEnd:raw=76996539,frozen=76987870;2ndExonStart_0base:raw=77005600,frozen=76995780;2ndExonEnd:raw=77005796,frozen=76995938;upstreamES:raw=76949750,frozen=76949713;downstreamES:raw=77011734,frozen=76996424;downstreamEE:raw=77011921,frozen=76996539																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_no_same_gene_event_class_candidate;treatment_event_coordinate_mismatch	disease_no_same_gene_event_class_candidate;treatment_event_coordinate_mismatch			-0.362	0.2	1.13735272656273e-05	0.00595649668070326	8	SEPTIN11
MXE|FAT3|chr11|+|92559409|92559705|92696745|92696783|92524633|92524948|92697383|92697445	MXE	FAT3	chr11	+	0	0	6	4	6	4	4	4	8	8	event_coordinate_mismatch	event_coordinate_mismatch	1stExonStart_0base:raw=92525046,frozen=92559409;1stExonEnd:raw=92525083,frozen=92559705;2ndExonStart_0base:raw=92533052,frozen=92696745;2ndExonEnd:raw=92533171,frozen=92696783	1stExonStart_0base:raw=92537810,frozen=92559409;1stExonEnd:raw=92537922,frozen=92559705;2ndExonStart_0base:raw=92559409,frozen=92696745;2ndExonEnd:raw=92559705,frozen=92696783																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			0.341	-0.384	0.00179107004586607	3.63507882564176e-05	9	FAT3
MXE|MGEA5|chr10|-|101803734|101804019|101807823|101807901|101798841|101799455|101817823|101818465	MXE	MGEA5	chr10	-	0	0	19	2	19	2	2	0	8	8	event_coordinate_mismatch	event_coordinate_mismatch	1stExonStart_0base:raw=101800241,frozen=101803734;1stExonEnd:raw=101800400,frozen=101804019;2ndExonStart_0base:raw=101803734,frozen=101807823;2ndExonEnd:raw=101804019,frozen=101807901;downstreamES:raw=101806044,frozen=101817823;downstreamEE:raw=101806143,frozen=101818465	1stExonStart_0base:raw=101812147,frozen=101803734;1stExonEnd:raw=101812380,frozen=101804019;2ndExonStart_0base:raw=101812695,frozen=101807823;2ndExonEnd:raw=101812923,frozen=101807901;upstreamES:raw=101810183,frozen=101798841;upstreamEE:raw=101810314,frozen=101799455;downstreamES:raw=101813029,frozen=101817823;downstreamEE:raw=101813127,frozen=101818465																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			0.361	-0.313	1.14135339349993e-08	0.021089304823559	10	MGEA5
