source_gene_symbol	event_type	event_key	chromosome	strand	disease_event_id	treatment_event_id	disease_fdr	treatment_fdr	disease_delta_sma_minus_control	treatment_delta_r6_minus_scramble	S2_distance_improvement	S3_distance_improvement	sma_median_informative_jc	control_median_informative_jc	scramble_median_informative_jc	r6_median_informative_jc	minimum_group_median_informative_jc	minimum_sample_informative_jc	fraction_samples_ge_10_informative_jc	fraction_samples_ge_20_informative_jc	junction_support_exact	junction_support_basis	primary_feature	primary_start_0base	primary_end	secondary_feature	secondary_start_0base	secondary_end	upstream_start_0base	upstream_end	downstream_start_0base	downstream_end	current_gene_symbol	hgnc_name	hgnc_locus_group	hgnc_locus_type	hgnc_location	hgnc_status	omn_log2_effect_omn_vs_sc	omn_p_value	omn_q_value	exploratory_omn_positive_p05	strict_events_for_gene	effect_component	significance_component	minimum_line_distance_improvement	consistency_component	support_component	assay_component	validation_priority_score	support_class	validation_rank	selection_reason	panel_order
MRFAP1	RI	RI|MRFAP1|chr4|+|6641231|6641610|6641231|6641258|6641445|6641610	chr4	+	24328	25232	2.82722563310586e-13	2.53609090235796e-08	-0.237	0.184	0.11425	0.2545	32	21	25.5	25	21	11	1	0.741935483870968	TRUE	exact_ijc_plus_sjc	retained_intron	6641231	6641610				6641231	6641258	6641445	6641610	MRFAP1	Morf4 family associated protein 1	protein-coding gene	gene with protein product	4p16.1	Approved	-0.14312439338513	0.847659225354425	0.994068282542537	FALSE	1	0.92	1	0.11425	1	0.871695757965222	0.85	0.949254363694783	MODERATE	1	highest_scoring_RI_anchor	1
IFI27L1	ES	ES|IFI27L1|chr14|+|94101813|94101975|94096840|94096965|94102476|94102714	chr14	+	59357	59447	6.89325021668726e-09	0.00751115556244436	-0.318	0.196	0.21	0.18275	13.5	11	10	10	10	1	0.709677419354839	0	TRUE	exact_ijc_plus_sjc	skipped_exon	94101813	94101975				94096840	94096965	94102476	94102714	IFI27L1	interferon alpha inducible protein 27 like 1	protein-coding gene	gene with protein product	14q32.12	Approved	-3.4688275272497	0.0646642083458578	0.857478691799145	FALSE	1	0.98	0.712429324331715	0.18275	1	0.649791865073828	1	0.869576110844003	LOW	2	highest_scoring_ES_anchor	2
PDE9A	ES	ES|PDE9A|chr21|+|42698912|42699011|42653751|42653883|42733355|42733426	chr21	+	298490	307418	9.9896095124246e-09	0.000418812052514648	-0.247	0.277	0.18175	0.3725	14.5	5	9	4.5	4.5	1	0.32258064516129	0.0967741935483871	TRUE	exact_ijc_plus_sjc	skipped_exon	42698912	42699011				42653751	42653883	42733355	42733426	PDE9A	phosphodiesterase 9A	protein-coding gene	gene with protein product	21q22.3	Approved	0.297122085891207	0.839181754472412	0.994068282542537	FALSE	1	1	0.837798082874752	0.18175	1	0.38917829476308	1	0.86782626493315	LOW	3	highest_remaining_unique_gene	3
HERPUD1	A5SS	A5SS|HERPUD1|chr16|+|56935234|56935497|56935234|56935312|56936686|56936817	chr16	+	36573	37645	1.85488931906565e-10	0.0376389433121824	0.449	-0.177	0.2045	0.15	27	34	39	22.5	22.5	12	1	0.870967741935484	TRUE	exact_ijc_plus_sjc	long_exon	56935234	56935497	short_exon	56935234	56935312			56936686	56936817	HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1	protein-coding gene	gene with protein product	16q13	Approved	0.37457202873229	0.712725204871243	0.991645701954677	FALSE	1	0.885	0.64243625775968	0.15	1	0.881761001028317	0.9	0.853373214594168	MODERATE	4	highest_scoring_A5SS_anchor	4
ABCA1	RI	RI|ABCA1|chr9|-|104799571|104799988|104799571|104799733|104799818|104799988	chr9	-	2374	2385	2.06693300046761e-05	0.00026183959298312	-0.375	0.309	0.169472222222222	0.34475	7	5	7.5	5	5	1	0.193548387096774	0.032258064516129	TRUE	exact_ijc_plus_sjc	retained_intron	104799571	104799988				104799571	104799733	104799818	104799988	ABCA1	ATP binding cassette subfamily A member 1	protein-coding gene	gene with protein product	9q31.1	Approved	1.32527716529723	0.542628082441579	0.984514941945375	FALSE	1	1	0.826663828356812	0.169472222222222	1	0.350843403094872	0.85	0.851792467553434	LOW	5	highest_remaining_unique_gene	5
SAT2	ES	ES|SAT2|chr17|-|7626761|7626793|7626237|7626614|7627142|7627226	chr17	-	287415	295753	0	0.0202303358226256	-0.502	0.323	0.262	0.384	9	10	8.5	12.5	8.5	2	0.483870967741935	0.0967741935483871	TRUE	exact_ijc_plus_sjc	skipped_exon	7626761	7626793				7626237	7626614	7627142	7627226	SAT2	spermidine/spermine N1-acetyltransferase family member 2	protein-coding gene	gene with protein product	17p13.1	Approved	-1.18069902782053	0.419180862776294	0.980007819884055	FALSE	1	1	0.669399690790133	0.262	1	0.537097467178425	1	0.847914542774297	LOW	6	highest_remaining_unique_gene	6
TNPO2	A3SS	A3SS|TNPO2|chr19|-|12705681|12706109|12705681|12705830|12706195|12706367	chr19	-	132631	145245	2.46843973271733e-07	0.00299087704000065	-0.414	0.281	0.136	0.42525	8	6	10	6.5	6	2	0.32258064516129	0	TRUE	exact_ijc_plus_sjc	long_exon	12705681	12706109	short_exon	12705681	12705830			12706195	12706367	TNPO2	transportin 2	protein-coding gene	gene with protein product	19p13.13	Approved	0.702724390647985	0.40204859312531	0.977210776573142	FALSE	1	1	0.752420144118028	0.136	1	0.42597983369345	0.9	0.847002011083525	LOW	7	highest_scoring_A3SS_anchor	7
SEPTIN11	MXE	MXE|SEPTIN11|chr4|+|76987808|76987870|76995780|76995938|76949713|76949930|76996424|76996539	chr4	+	18721	18527	1.13735272656273e-05	0.00595649668070326	-0.362	0.2	0.3185	0.082	20.5	18	17	18	17	7	0.870967741935484	0.419354838709677	TRUE	exact_ijc_plus_sjc	first_exon	76987808	76987870	second_exon	76995780	76995938	76949713	76949930	76996424	76996539	SEPTIN11	septin 11	protein-coding gene	gene with protein product	4q21.1	Approved	-0.642955638243823	0.469293020194427	0.983045959004299	FALSE	1	1	0.716911392281256	0.082	0.82	0.789460332653189	0.75	0.840146897968292	LOW	8	highest_scoring_MXE_anchor	8
FAT3	MXE	MXE|FAT3|chr11|+|92559409|92559705|92696745|92696783|92524633|92524948|92697383|92697445	chr11	+	111285	117318	0.00179107004586607	3.63507882564176e-05	0.341	-0.384	0.3795	0.32	7.5	7	8	10	7	1	0.419354838709677	0.032258064516129	TRUE	exact_ijc_plus_sjc	first_exon	92559409	92559705	second_exon	92696745	92696783	92524633	92524948	92697383	92697445	FAT3	FAT atypical cadherin 3	protein-coding gene	gene with protein product	11q14.3	Approved	0.610990064443948	0.75145978652116	0.991645701954677	FALSE	1	1	0.718637359641237	0.32	1	0.485066517383859	0.75	0.839919317517888	LOW	9	highest_remaining_unique_gene	9
MGEA5	MXE	MXE|MGEA5|chr10|-|101803734|101804019|101807823|101807901|101798841|101799455|101817823|101818465	chr10	-	93201	98222	1.14135339349993e-08	0.021089304823559	0.361	-0.313	0.10825	0.51825	14.5	6	11	12	6	2	0.483870967741935	0.32258064516129	TRUE	exact_ijc_plus_sjc	first_exon	101803734	101804019	second_exon	101807823	101807901	101798841	101799455	101817823	101818465	OGA	O-GlcNAcase	protein-coding gene	gene with protein product	10q24.32	Approved	0.470414967158922	0.487509138174951	0.984489908644107	FALSE	1	1	0.667593773587304	0.10825	1	0.490495962725708	0.75	0.827972837805682	LOW	10	highest_remaining_unique_gene	10
