ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
18721	ENSG00000138758.12	SEPTIN11	chr4	+	76987808	76987870	76995780	76995938	76949713	76949930	76996424	76996539
32242	ENSG00000164162.14	ANAPC10	chr4	-	145097494	145097562	145097687	145097760	145095984	145096111	145098119	145098219
41557	ENSG00000105339.11	DENND3	chr8	+	141144147	141144259	141150097	141150348	141138021	141138137	141150833	141150953
61537	ENSG00000183273.7	CCDC60	chr12	+	119479093	119479201	119488758	119488962	119471993	119472164	119500077	119500168
93201	ENSG00000198408.14	MGEA5	chr10	-	101803734	101804019	101807823	101807901	101798841	101799455	101817823	101818465
111285	ENSG00000165323.16	FAT3	chr11	+	92559409	92559705	92696745	92696783	92524633	92524948	92697383	92697445
112117	ENSG00000075151.24	EIF4G3	chr1	-	20982387	20982408	21002712	21002787	20981047	20981227	21050865	21050994
123135	ENSG00000186522.15	SEPTIN10	chr2	-	109567697	109567976	109574580	109574633	109565762	109565859	109585125	109585321
123146	ENSG00000186522.15	SEPTIN10	chr2	-	109567832	109567976	109574580	109574633	109565762	109565859	109585125	109585321
126045	ENSG00000160551.12	TAOK1	chr17	+	29391918	29392033	29395852	29395991	29390924	29391024	29451454	29451680
142204	ENSG00000112320.12	SOBP	chr6	+	107529458	107529611	107530917	107531048	107506241	107506427	107533458	107533610
145318	ENSG00000137944.18	CCBL2	chr1	-	88962931	88963087	88964555	88964669	88962058	88962145	88964828	88964978
160599	ENSG00000167508.12	MVD	chr16	-	88657734	88658029	88660519	88660838	88657435	88657582	88663010	88663149
170013	ENSG00000005379.17	BZRAP1	chr17	-	58324788	58325002	58326292	58326419	58323467	58323545	58326682	58326790
194027	ENSG00000116127.20	ALMS1	chr2	+	73399257	73399343	73408621	73408747	73385757	73386192	73419122	73419318
210383	ENSG00000186866.17	POFUT2	chr21	-	45284025	45284140	45285268	45285328	45283382	45283527	45285677	45285928
210384	ENSG00000186866.17	POFUT2	chr21	-	45284025	45284140	45285268	45285372	45283382	45283527	45285677	45285928
210390	ENSG00000186866.17	POFUT2	chr21	-	45284025	45284230	45285268	45285372	45283382	45283527	45285677	45285928
210395	ENSG00000186866.17	POFUT2	chr21	-	45284025	45284518	45285268	45285372	45283382	45283527	45285677	45285928
216995	ENSG00000178252.19	WDR6	chr3	+	49008908	49009024	49011420	49011459	49007203	49007531	49011634	49014116
222514	ENSG00000127419.17	TMEM175	chr4	+	951645	951717	952366	952539	951206	951258	953189	953354
226428	ENSG00000164162.14	ANAPC10	chr4	-	145097494	145097562	145097687	145098015	145095984	145096111	145098119	145098219
