event_type	event_id	frozen_gene_symbol	previous_gene_id	gencode_gene_id	gencode_gene_name	chromosome	strand	event_start_0base	event_end_1base	match_method
ES	16778	YWHAE	YWHAE	ENSG00000108953.17	YWHAE	chr17	-	1344539	1365058	symbol_chromosome_strand_containment
ES	26778	TEX30	TEX30	ENSG00000151287.17	TEX30	chr13	-	102769310	102773821	symbol_chromosome_strand_overlap
ES	37864	CCDC15	CCDC15	ENSG00000149548.15	CCDC15	chr11	+	124987126	125003959	symbol_chromosome_strand_containment
ES	45325	OTUD3	OTUD3	ENSG00000169914.6	OTUD3	chr1	+	19890384	19897662	symbol_chromosome_strand_containment
ES	54897	TXNDC11	TXNDC11	ENSG00000153066.13	TXNDC11	chr16	-	11721576	11736233	symbol_chromosome_strand_containment
ES	59357	IFI27L1	IFI27L1	ENSG00000165948.11	IFI27L1	chr14	+	94096840	94102714	symbol_chromosome_strand_containment
ES	62972	TTLL3	TTLL3	ENSG00000214021.19	TTLL3	chr3	+	9813247	9818920	symbol_chromosome_strand_containment
ES	74244	MAD1L1	MAD1L1	ENSG00000002822.16	MAD1L1	chr7	-	2222574	2232948	symbol_chromosome_strand_containment
ES	78781	NCKAP5	NCKAP5	ENSG00000176771.18	NCKAP5	chr2	-	132773815	132790205	symbol_chromosome_strand_containment
ES	97689	NCALD	NCALD	ENSG00000104490.18	NCALD	chr8	-	101692790	101791211	symbol_chromosome_strand_containment
ES	117077	GOLGA4	GOLGA4	ENSG00000144674.19	GOLGA4	chr3	+	37243190	37282272	symbol_chromosome_strand_containment
ES	119569	KIZ	KIZ	ENSG00000088970.16	KIZ	chr20	+	21125982	21162507	symbol_chromosome_strand_containment
ES	137880	UBQLN1	UBQLN1	ENSG00000135018.14	UBQLN1	chr9	-	83677726	83708253	symbol_chromosome_strand_overlap
ES	140297	DENND3	DENND3	ENSG00000105339.11	DENND3	chr8	+	141144147	141150953	symbol_chromosome_strand_containment
ES	145452	LOC155060	LOC155060			chr7	+	149293376	149294412	unmapped_in_gencode_v47
ES	155252	ORC3	ORC3	ENSG00000135336.17	ORC3	chr6	+	87594352	87603528	symbol_chromosome_strand_containment
ES	155254	ORC3	ORC3	ENSG00000135336.17	ORC3	chr6	+	87594352	87603528	symbol_chromosome_strand_containment
ES	157278	CUL9	CUL9	ENSG00000112659.14	CUL9	chr6	+	43206006	43213294	symbol_chromosome_strand_containment
ES	163527	CCT3	CCT3	ENSG00000163468.15	CCT3	chr1	-	156333546	156338415	symbol_chromosome_strand_containment
ES	166580	GAS8	GAS8	ENSG00000141013.17	GAS8	chr16	+	90022599	90031484	symbol_chromosome_strand_containment
ES	174849	ZCCHC12	ZCCHC12	ENSG00000174460.4	ZCCHC12	chrX	+	118823823	118824713	symbol_chromosome_strand_containment
ES	175766	C14orf1	C14orf1	ENSG00000133935.7	ERG28	chr14	-	75651770	75657533	chromosome_strand_containment_alias
ES	195542	ASUN	ASUN	ENSG00000064102.15	INTS13	chr12	-	26928702	26936814	chromosome_strand_containment_alias
ES	212223	IQCD	IQCD	ENSG00000166578.10	IQCD	chr12	-	113197540	113221094	symbol_chromosome_strand_containment
ES	219697	ECD	ECD	ENSG00000122882.11	ECD	chr10	-	73160433	73168095	symbol_chromosome_strand_containment
ES	229850	LINC00665	LINC00665	ENSG00000232677.12	LINC00665	chr19	-	36315956	36321357	symbol_chromosome_strand_containment
ES	274077	SREK1IP1	SREK1IP1	ENSG00000153006.16	SREK1IP1	chr5	-	64741056	64768669	symbol_chromosome_strand_containment
ES	274080	SREK1IP1	SREK1IP1	ENSG00000153006.16	SREK1IP1	chr5	-	64741056	64768669	symbol_chromosome_strand_containment
ES	287415	SAT2	SAT2	ENSG00000141504.12	SAT2	chr17	-	7626237	7627226	symbol_chromosome_strand_containment
ES	287575	KCNAB3	KCNAB3	ENSG00000170049.10	KCNAB3	chr17	-	7921858	7923831	symbol_chromosome_strand_containment
ES	294129	ITGA2B	ITGA2B	ENSG00000005961.19	ITGA2B	chr17	-	44378361	44379814	symbol_chromosome_strand_containment
ES	298490	PDE9A	PDE9A	ENSG00000160191.18	PDE9A	chr21	+	42653751	42733426	symbol_chromosome_strand_containment
ES	326985	FAHD2A	FAHD2A	ENSG00000115042.10	FAHD2A	chr2	+	95402699	95412504	symbol_chromosome_strand_overlap
ES	339313	CHD6	CHD6	ENSG00000124177.16	CHD6	chr20	-	41413323	41415638	symbol_chromosome_strand_containment
