event_key	event_type	gene_symbol	structurally_recovered	adequate_junction_support	disease_direction_reproduced	treatment_reversal_reproduced	both_lines_corrected	disease_structural_match_reason	treatment_structural_match_reason	disease_best_coordinate_matches	disease_coordinate_fields	treatment_best_coordinate_matches	treatment_coordinate_fields	disease_best_coordinate_mismatch	treatment_best_coordinate_mismatch	structural_recovery_reason	raw_confirmation_limiting_reason
ES|YWHAE|chr17|-|1361091|1361298|1344539|1345499|1364858|1365058	ES	YWHAE	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	5	6	3	6	upstreamES:raw=1344274,frozen=1344539	exonStart_0base:raw=1354210,frozen=1361091;exonEnd:raw=1354347,frozen=1361298;upstreamES:raw=1344274,frozen=1344539	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
ES|TEX30|chr13|-|102770011|102770086|102769310|102769541|102773681|102773821	ES	TEX30	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	5	6	5	6	downstreamEE:raw=102773786,frozen=102773821	downstreamEE:raw=102773786,frozen=102773821	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
ES|CCDC15|chr11|+|124993168|124993243|124987126|124988134|125003866|125003959	ES	CCDC15	FALSE	FALSE	FALSE	FALSE	FALSE	exact_match	event_coordinate_mismatch	6	6	2	6		exonStart_0base:raw=124991460,frozen=124993168;exonEnd:raw=124991583,frozen=124993243;downstreamES:raw=124992579,frozen=125003866;downstreamEE:raw=124992687,frozen=125003959	disease_exact_match;treatment_event_coordinate_mismatch	disease_exact_match;treatment_event_coordinate_mismatch
ES|OTUD3|chr1|+|19894367|19894480|19890384|19890533|19897539|19897662	ES	OTUD3	TRUE	TRUE	FALSE	TRUE	FALSE	exact_match	exact_match	6	6	6	6			recovered	disease_direction_not_reproduced
ES|TXNDC11|chr16|-|11733981|11734079|11721576|11721670|11736016|11736233	ES	TXNDC11	TRUE	TRUE	TRUE	FALSE	FALSE	exact_match	exact_match	6	6	6	6			recovered	treatment_reversal_not_reproduced
ES|IFI27L1|chr14|+|94101813|94101975|94096840|94096965|94102476|94102714	ES	IFI27L1	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	5	6	5	6	downstreamEE:raw=94102536,frozen=94102714	downstreamEE:raw=94102536,frozen=94102714	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
ES|TTLL3|chr3|+|9817644|9817759|9813247|9813345|9818821|9818920	ES	TTLL3	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	5	6	5	6	downstreamES:raw=9818554,frozen=9818821	downstreamEE:raw=9818871,frozen=9818920	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
ES|MAD1L1|chr7|-|2230548|2230764|2222574|2222754|2232871|2232948	ES	MAD1L1	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	5	6	3	6	downstreamEE:raw=2232974,frozen=2232948	exonStart_0base:raw=2229983,frozen=2230548;exonEnd:raw=2230143,frozen=2230764;downstreamEE:raw=2232945,frozen=2232948	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
ES|NCKAP5|chr2|-|132781939|132785718|132773815|132773894|132790022|132790205	ES	NCKAP5	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	exact_match	0	6	6	6	exonStart_0base:raw=132731736,frozen=132781939;exonEnd:raw=132732051,frozen=132785718;upstreamES:raw=132671805,frozen=132773815;upstreamEE:raw=132673305,frozen=132773894;downstreamES:raw=132773815,frozen=132790022;downstreamEE:raw=132773894,frozen=132790205		disease_event_coordinate_mismatch;treatment_exact_match	disease_event_coordinate_mismatch;treatment_exact_match
ES|NCALD|chr8|-|101779923|101779979|101692790|101692896|101790861|101791211	ES	NCALD	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	3	6	3	6	upstreamES:raw=101719385,frozen=101692790;upstreamEE:raw=101719648,frozen=101692896;downstreamEE:raw=101790947,frozen=101791211	upstreamES:raw=101719385,frozen=101692790;upstreamEE:raw=101719648,frozen=101692896;downstreamEE:raw=101790947,frozen=101791211	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
