event_key	event_type	gene_symbol	sample_id	contrast	group	informative_junction_count
ES|OTUD3|chr1|+|19894367|19894480|19890384|19890533|19897539|19897662	ES	OTUD3	BULK-SAM-160	disease	SMA	25
ES|OTUD3|chr1|+|19894367|19894480|19890384|19890533|19897539|19897662	ES	OTUD3	BULK-SAM-148	disease	SMA	22
ES|OTUD3|chr1|+|19894367|19894480|19890384|19890533|19897539|19897662	ES	OTUD3	BULK-SAM-109	disease	control	21
ES|OTUD3|chr1|+|19894367|19894480|19890384|19890533|19897539|19897662	ES	OTUD3	BULK-SAM-104	disease	control	28
ES|OTUD3|chr1|+|19894367|19894480|19890384|19890533|19897539|19897662	ES	OTUD3	BULK-SAM-107	disease	control	39
ES|OTUD3|chr1|+|19894367|19894480|19890384|19890533|19897539|19897662	ES	OTUD3	BULK-SAM-166	treatment	R6-MO	15
ES|OTUD3|chr1|+|19894367|19894480|19890384|19890533|19897539|19897662	ES	OTUD3	BULK-SAM-157	treatment	R6-MO	26
ES|OTUD3|chr1|+|19894367|19894480|19890384|19890533|19897539|19897662	ES	OTUD3	BULK-SAM-163	treatment	scramble	33
ES|OTUD3|chr1|+|19894367|19894480|19890384|19890533|19897539|19897662	ES	OTUD3	BULK-SAM-151	treatment	scramble	39
ES|TXNDC11|chr16|-|11733981|11734079|11721576|11721670|11736016|11736233	ES	TXNDC11	BULK-SAM-160	disease	SMA	9
ES|TXNDC11|chr16|-|11733981|11734079|11721576|11721670|11736016|11736233	ES	TXNDC11	BULK-SAM-148	disease	SMA	15
ES|TXNDC11|chr16|-|11733981|11734079|11721576|11721670|11736016|11736233	ES	TXNDC11	BULK-SAM-109	disease	control	11
ES|TXNDC11|chr16|-|11733981|11734079|11721576|11721670|11736016|11736233	ES	TXNDC11	BULK-SAM-104	disease	control	35
ES|TXNDC11|chr16|-|11733981|11734079|11721576|11721670|11736016|11736233	ES	TXNDC11	BULK-SAM-107	disease	control	30
ES|TXNDC11|chr16|-|11733981|11734079|11721576|11721670|11736016|11736233	ES	TXNDC11	BULK-SAM-166	treatment	R6-MO	14
ES|TXNDC11|chr16|-|11733981|11734079|11721576|11721670|11736016|11736233	ES	TXNDC11	BULK-SAM-157	treatment	R6-MO	27
ES|TXNDC11|chr16|-|11733981|11734079|11721576|11721670|11736016|11736233	ES	TXNDC11	BULK-SAM-163	treatment	scramble	16
ES|TXNDC11|chr16|-|11733981|11734079|11721576|11721670|11736016|11736233	ES	TXNDC11	BULK-SAM-151	treatment	scramble	10
ES|KIZ|chr20|+|21145564|21145654|21125982|21126204|21161870|21162507	ES	KIZ	BULK-SAM-160	disease	SMA	25
ES|KIZ|chr20|+|21145564|21145654|21125982|21126204|21161870|21162507	ES	KIZ	BULK-SAM-148	disease	SMA	24
ES|KIZ|chr20|+|21145564|21145654|21125982|21126204|21161870|21162507	ES	KIZ	BULK-SAM-109	disease	control	15
ES|KIZ|chr20|+|21145564|21145654|21125982|21126204|21161870|21162507	ES	KIZ	BULK-SAM-104	disease	control	47
ES|KIZ|chr20|+|21145564|21145654|21125982|21126204|21161870|21162507	ES	KIZ	BULK-SAM-107	disease	control	45
ES|KIZ|chr20|+|21145564|21145654|21125982|21126204|21161870|21162507	ES	KIZ	BULK-SAM-166	treatment	R6-MO	18
ES|KIZ|chr20|+|21145564|21145654|21125982|21126204|21161870|21162507	ES	KIZ	BULK-SAM-157	treatment	R6-MO	5
ES|KIZ|chr20|+|21145564|21145654|21125982|21126204|21161870|21162507	ES	KIZ	BULK-SAM-163	treatment	scramble	17
ES|KIZ|chr20|+|21145564|21145654|21125982|21126204|21161870|21162507	ES	KIZ	BULK-SAM-151	treatment	scramble	23
ES|C14orf1|chr14|-|75654881|75655130|75651770|75651889|75657369|75657533	ES	C14orf1	BULK-SAM-160	disease	SMA	16
ES|C14orf1|chr14|-|75654881|75655130|75651770|75651889|75657369|75657533	ES	C14orf1	BULK-SAM-148	disease	SMA	2
ES|C14orf1|chr14|-|75654881|75655130|75651770|75651889|75657369|75657533	ES	C14orf1	BULK-SAM-109	disease	control	1
ES|C14orf1|chr14|-|75654881|75655130|75651770|75651889|75657369|75657533	ES	C14orf1	BULK-SAM-104	disease	control	2
ES|C14orf1|chr14|-|75654881|75655130|75651770|75651889|75657369|75657533	ES	C14orf1	BULK-SAM-107	disease	control	0
ES|C14orf1|chr14|-|75654881|75655130|75651770|75651889|75657369|75657533	ES	C14orf1	BULK-SAM-166	treatment	R6-MO	4
ES|C14orf1|chr14|-|75654881|75655130|75651770|75651889|75657369|75657533	ES	C14orf1	BULK-SAM-157	treatment	R6-MO	0
ES|C14orf1|chr14|-|75654881|75655130|75651770|75651889|75657369|75657533	ES	C14orf1	BULK-SAM-163	treatment	scramble	7
ES|C14orf1|chr14|-|75654881|75655130|75651770|75651889|75657369|75657533	ES	C14orf1	BULK-SAM-151	treatment	scramble	3
MXE|EIF4G3|chr1|-|20982387|20982408|21002712|21002787|20981047|20981227|21050865|21050994	MXE	EIF4G3	BULK-SAM-160	disease	SMA	11
MXE|EIF4G3|chr1|-|20982387|20982408|21002712|21002787|20981047|20981227|21050865|21050994	MXE	EIF4G3	BULK-SAM-148	disease	SMA	18
MXE|EIF4G3|chr1|-|20982387|20982408|21002712|21002787|20981047|20981227|21050865|21050994	MXE	EIF4G3	BULK-SAM-109	disease	control	27
MXE|EIF4G3|chr1|-|20982387|20982408|21002712|21002787|20981047|20981227|21050865|21050994	MXE	EIF4G3	BULK-SAM-104	disease	control	12
MXE|EIF4G3|chr1|-|20982387|20982408|21002712|21002787|20981047|20981227|21050865|21050994	MXE	EIF4G3	BULK-SAM-107	disease	control	47
MXE|EIF4G3|chr1|-|20982387|20982408|21002712|21002787|20981047|20981227|21050865|21050994	MXE	EIF4G3	BULK-SAM-166	treatment	R6-MO	20
MXE|EIF4G3|chr1|-|20982387|20982408|21002712|21002787|20981047|20981227|21050865|21050994	MXE	EIF4G3	BULK-SAM-157	treatment	R6-MO	28
MXE|EIF4G3|chr1|-|20982387|20982408|21002712|21002787|20981047|20981227|21050865|21050994	MXE	EIF4G3	BULK-SAM-163	treatment	scramble	40
MXE|EIF4G3|chr1|-|20982387|20982408|21002712|21002787|20981047|20981227|21050865|21050994	MXE	EIF4G3	BULK-SAM-151	treatment	scramble	6
RI|COL5A2|chr2|-|189100106|189100418|189100106|189100139|189100333|189100418	RI	COL5A2	BULK-SAM-160	disease	SMA	14
RI|COL5A2|chr2|-|189100106|189100418|189100106|189100139|189100333|189100418	RI	COL5A2	BULK-SAM-148	disease	SMA	12
RI|COL5A2|chr2|-|189100106|189100418|189100106|189100139|189100333|189100418	RI	COL5A2	BULK-SAM-109	disease	control	0
RI|COL5A2|chr2|-|189100106|189100418|189100106|189100139|189100333|189100418	RI	COL5A2	BULK-SAM-104	disease	control	17
RI|COL5A2|chr2|-|189100106|189100418|189100106|189100139|189100333|189100418	RI	COL5A2	BULK-SAM-107	disease	control	13
RI|COL5A2|chr2|-|189100106|189100418|189100106|189100139|189100333|189100418	RI	COL5A2	BULK-SAM-166	treatment	R6-MO	23
RI|COL5A2|chr2|-|189100106|189100418|189100106|189100139|189100333|189100418	RI	COL5A2	BULK-SAM-157	treatment	R6-MO	3
RI|COL5A2|chr2|-|189100106|189100418|189100106|189100139|189100333|189100418	RI	COL5A2	BULK-SAM-163	treatment	scramble	15
RI|COL5A2|chr2|-|189100106|189100418|189100106|189100139|189100333|189100418	RI	COL5A2	BULK-SAM-151	treatment	scramble	13
RI|ASAP1|chr8|-|130115627|130116014|130115627|130115735|130115817|130116014	RI	ASAP1	BULK-SAM-160	disease	SMA	6
RI|ASAP1|chr8|-|130115627|130116014|130115627|130115735|130115817|130116014	RI	ASAP1	BULK-SAM-148	disease	SMA	5
RI|ASAP1|chr8|-|130115627|130116014|130115627|130115735|130115817|130116014	RI	ASAP1	BULK-SAM-109	disease	control	10
RI|ASAP1|chr8|-|130115627|130116014|130115627|130115735|130115817|130116014	RI	ASAP1	BULK-SAM-104	disease	control	4
RI|ASAP1|chr8|-|130115627|130116014|130115627|130115735|130115817|130116014	RI	ASAP1	BULK-SAM-107	disease	control	6
RI|ASAP1|chr8|-|130115627|130116014|130115627|130115735|130115817|130116014	RI	ASAP1	BULK-SAM-166	treatment	R6-MO	1
RI|ASAP1|chr8|-|130115627|130116014|130115627|130115735|130115817|130116014	RI	ASAP1	BULK-SAM-157	treatment	R6-MO	4
RI|ASAP1|chr8|-|130115627|130116014|130115627|130115735|130115817|130116014	RI	ASAP1	BULK-SAM-163	treatment	scramble	2
RI|ASAP1|chr8|-|130115627|130116014|130115627|130115735|130115817|130116014	RI	ASAP1	BULK-SAM-151	treatment	scramble	4
