event_key	event_type	gene_symbol	chromosome	strand	disease_exact_matches	treatment_exact_matches	disease_same_gene_class_candidates	treatment_same_gene_class_candidates	disease_same_locus_candidates	treatment_same_locus_candidates	disease_best_coordinate_matches	treatment_best_coordinate_matches	disease_coordinate_fields	treatment_coordinate_fields	disease_structural_match_reason	treatment_structural_match_reason	disease_best_coordinate_mismatch	treatment_best_coordinate_mismatch	disease_raw_event_id	treatment_raw_event_id	disease_raw_delta	treatment_raw_delta	disease_p_value	disease_rmats_fdr_target_locus_discovery	treatment_p_value	treatment_rmats_fdr_target_locus_discovery	raw_control_mean_psi	raw_sma_mean_psi	raw_scramble_mean_psi	raw_r6_mean_psi	S2_raw_disease_psi	S3_raw_disease_psi	S2_raw_scramble_psi	S3_raw_scramble_psi	S2_raw_r6_psi	S3_raw_r6_psi	S2_raw_treatment_delta	S3_raw_treatment_delta	S2_raw_distance_improvement	S3_raw_distance_improvement	sma_median_informative_jc	control_median_informative_jc	r6_median_informative_jc	scramble_median_informative_jc	minimum_group_median_informative_jc	structurally_recovered	adequate_junction_support	disease_direction_reproduced	treatment_reversal_reproduced	S2_corrected	S3_corrected	both_lines_corrected	strong_raw_confirmation	structural_recovery_reason	raw_confirmation_limiting_reason	disease_within83_q	treatment_within83_q	processed_disease_delta	processed_treatment_delta	processed_disease_fdr	processed_treatment_fdr
ES|YWHAE|chr17|-|1361091|1361298|1344539|1345499|1364858|1365058	ES	YWHAE	chr17	-	0	0	18	20	18	20	5	3	6	6	event_coordinate_mismatch	event_coordinate_mismatch	upstreamES:raw=1344274,frozen=1344539	exonStart_0base:raw=1354210,frozen=1361091;exonEnd:raw=1354347,frozen=1361298;upstreamES:raw=1344274,frozen=1344539																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.115	0.101	4.90799006138171e-07	0.0180871569425362
ES|TEX30|chr13|-|102770011|102770086|102769310|102769541|102773681|102773821	ES	TEX30	chr13	-	0	0	2	3	2	3	5	5	6	6	event_coordinate_mismatch	event_coordinate_mismatch	downstreamEE:raw=102773786,frozen=102773821	downstreamEE:raw=102773786,frozen=102773821																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.305	0.209	0.00337719302858437	0.0205026174883029
ES|CCDC15|chr11|+|124993168|124993243|124987126|124988134|125003866|125003959	ES	CCDC15	chr11	+	1	0	3	2	3	2	6	2	6	6	exact_match	event_coordinate_mismatch		exonStart_0base:raw=124991460,frozen=124993168;exonEnd:raw=124991583,frozen=124993243;downstreamES:raw=124992579,frozen=125003866;downstreamEE:raw=124992687,frozen=125003959																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_exact_match;treatment_event_coordinate_mismatch	disease_exact_match;treatment_event_coordinate_mismatch			0.126	-0.138	0.00996168977101418	0.000906133846359051
ES|OTUD3|chr1|+|19894367|19894480|19890384|19890533|19897539|19897662	ES	OTUD3	chr1	+	1	1	6	6	6	6	6	6	6	6	exact_match	exact_match			53333	53287	-0.002	0.167	0.843199516515	1	0.0809889266983	0.636297477498345	0.861	0.8595	0.664	0.8305	0.868	0.851	0.851	0.477	0.788	0.873	-0.0629999999999999	0.396	-0.0629999999999999	0.372	23.5	28	20.5	36	20.5	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	recovered	disease_direction_not_reproduced	1	0.5669224868881	-0.135	0.108	7.76129364688834e-06	0.034312273735741
ES|TXNDC11|chr16|-|11733981|11734079|11721576|11721670|11736016|11736233	ES	TXNDC11	chr16	-	1	1	16	7	16	7	6	6	6	6	exact_match	exact_match			30229	30211	-0.086	-0.108	1	1	0.772992937349	1	1	0.9145	1	0.892	0.829	1	1	1	0.784	1	-0.216	0	-0.216	0	12	30	20.5	13	12	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	recovered	treatment_reversal_not_reproduced	1	1	-0.116	0.129	2.72564693626753e-07	0.00471397189586451
ES|IFI27L1|chr14|+|94101813|94101975|94096840|94096965|94102476|94102714	ES	IFI27L1	chr14	+	0	0	8	9	8	9	5	5	6	6	event_coordinate_mismatch	event_coordinate_mismatch	downstreamEE:raw=94102536,frozen=94102714	downstreamEE:raw=94102536,frozen=94102714																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.318	0.196	6.89325021668726e-09	0.00751115556244436
ES|TTLL3|chr3|+|9817644|9817759|9813247|9813345|9818821|9818920	ES	TTLL3	chr3	+	0	0	20	14	20	14	5	5	6	6	event_coordinate_mismatch	event_coordinate_mismatch	downstreamES:raw=9818554,frozen=9818821	downstreamEE:raw=9818871,frozen=9818920																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.137	0.124	0.012260964837008	0.000124233231457694
ES|MAD1L1|chr7|-|2230548|2230764|2222574|2222754|2232871|2232948	ES	MAD1L1	chr7	-	0	0	10	9	10	9	5	3	6	6	event_coordinate_mismatch	event_coordinate_mismatch	downstreamEE:raw=2232974,frozen=2232948	exonStart_0base:raw=2229983,frozen=2230548;exonEnd:raw=2230143,frozen=2230764;downstreamEE:raw=2232945,frozen=2232948																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			0.232	-0.105	1.21682937651622e-06	0.00120915914150496
ES|NCKAP5|chr2|-|132781939|132785718|132773815|132773894|132790022|132790205	ES	NCKAP5	chr2	-	0	1	2	2	2	2	0	6	6	6	event_coordinate_mismatch	exact_match	exonStart_0base:raw=132731736,frozen=132781939;exonEnd:raw=132732051,frozen=132785718;upstreamES:raw=132671805,frozen=132773815;upstreamEE:raw=132673305,frozen=132773894;downstreamES:raw=132773815,frozen=132790022;downstreamEE:raw=132773894,frozen=132790205																													FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_exact_match	disease_event_coordinate_mismatch;treatment_exact_match			-0.19	0.165	5.28878329734775e-05	0.0298705570606936
ES|NCALD|chr8|-|101779923|101779979|101692790|101692896|101790861|101791211	ES	NCALD	chr8	-	0	0	20	23	20	23	3	3	6	6	event_coordinate_mismatch	event_coordinate_mismatch	upstreamES:raw=101719385,frozen=101692790;upstreamEE:raw=101719648,frozen=101692896;downstreamEE:raw=101790947,frozen=101791211	upstreamES:raw=101719385,frozen=101692790;upstreamEE:raw=101719648,frozen=101692896;downstreamEE:raw=101790947,frozen=101791211																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.224	0.108	0.0057022366766302	0.00209545339598344
